day,code,rps,s1,s2,fwd1,fwd3,fwd6,has_change,cog,stage
20220104,601728,51.51515151515152,,,-0.0388127853881277,-0.0844748858447488,-0.1120797011207969,False,中,L0 无变化
20220104,600050,30.303030303030305,,,-0.0576441102756892,-0.1027568922305764,-0.120243381718361,False,低,L0 无变化
20220104,2296,39.39393939393939,,1.0402855368632924,-0.0551181102362203,-0.0485564304461942,-0.1076115485564304,True,低,L1 变化萌芽(市场未知)
20220104,688981,79.56989247311827,,0.2798859218826643,-0.0596537448249906,-0.139819345126082,-0.15675573955589,True,高,L3 一致预期
20220104,300660,83.80952380952381,,-0.5443592963077726,-0.0789003927168868,-0.2699036058550518,0.3878307551079292,False,高,L0 无变化
20220104,600033,75.0,,0.6697079574499417,0.0313588850174217,0.0278745644599303,0.0172327831691327,True,高,L3 一致预期
20220104,601169,54.166666666666664,-0.7234138450580533,,0.0246636771300448,0.0358744394618832,0.0179372197309415,False,中,L0 无变化
20220104,603037,75.91240875912408,,,-0.139402560455192,-0.1820768136557611,-0.1645329540066382,False,高,L0 无变化
20220104,688313,93.93939393939394,-1.4384252516192817,,-0.1327088212334114,-0.1756440281030444,-0.1199490698950285,False,高,L0 无变化
20220104,603881,48.48484848484848,,,-0.0867844895805854,-0.0670007913479292,-0.2950266258204842,False,中,L0 无变化
20220104,300139,89.58333333333334,,-0.2764832417633756,-0.1140350877192982,-0.2272727272727273,-0.2918660287081338,False,高,L0 无变化
20220104,603005,43.54838709677419,,-0.5501153165021031,-0.2137546468401486,-0.3174721189591077,-0.1924316659178756,False,中,L0 无变化
20220104,688378,84.94623655913979,,-0.977377074175181,-0.1963636363636361,-0.1749494949494948,-0.2552653583439892,False,高,L0 无变化
20220104,429,98.07692307692308,,,0.0391891891891891,0.0689189189189187,0.1148648648648649,False,高,L0 无变化
20220104,300738,63.63636363636363,,-0.5747368402218744,-0.0818380743982494,-0.011378555798687,-0.092363132052724,False,中,L0 无变化
20220104,688618,54.54545454545454,,0.1362063467901828,0.1023622047244094,-0.1021434820647418,-0.0683284723418212,True,中,L2 市场发现中
20220104,2818,47.72727272727273,,,-0.0331230283911672,-0.0630914826498422,0.0638153200328874,False,中,L0 无变化
20220104,601518,82.6923076923077,,1.812324607399413,-0.0072202166064981,0.0252707581227435,-0.0359626672780384,True,高,L3 一致预期
20220104,600015,45.83333333333333,,,0.0248667850799291,0.0017761989342806,-0.0163331635296721,False,中,L0 无变化
20220104,603327,70.43010752688173,,0.0410455126807637,-0.143583945732052,-0.2131147540983606,0.0498702959242183,True,高,L3 一致预期
