day,code,rps,s1,s2,fwd1,fwd3,fwd6
20220104,601728,51.515151515151516,,,-0.03881278538812771,-0.08447488584474883,-0.1120797011207969
20220104,600050,30.303030303030305,,,-0.057644110275689275,-0.10275689223057649,-0.12024338171836102
20220104,002296,39.39393939393939,,1.0402855368632924,-0.055118110236220375,-0.04855643044619429,-0.1076115485564304
20220104,688981,79.56989247311827,,0.2798859218826643,-0.05965374482499064,-0.13981934512608207,-0.15675573955589006
20220104,300660,83.80952380952381,,-0.5443592963077726,-0.07890039271688687,-0.2699036058550518,0.3878307551079292
20220104,600033,75.0,,0.6697079574499417,0.03135888501742179,0.027874564459930307,0.017232783169132793
20220104,601169,54.166666666666664,-0.7234138450580533,,0.024663677130044803,0.03587443946188329,0.017937219730941534
20220104,603037,75.91240875912408,,,-0.13940256045519206,-0.18207681365576112,-0.16453295400663825
20220104,688313,93.93939393939394,-1.4384252516192815,,-0.13270882123341143,-0.17564402810304447,-0.11994906989502852
20220104,603881,48.484848484848484,,,-0.08678448958058549,-0.06700079134792924,-0.2950266258204842
20220104,300139,89.58333333333334,,-0.2764832417633756,-0.11403508771929827,-0.2272727272727273,-0.29186602870813383
20220104,603005,43.54838709677419,,-0.5501153165021031,-0.21375464684014867,-0.31747211895910776,-0.19243166591787564
20220104,688378,84.94623655913979,,-0.977377074175181,-0.19636363636363618,-0.17494949494949485,-0.2552653583439892
20220104,000429,98.07692307692307,,,0.03918918918918912,0.06891891891891877,0.11486486486486491
20220104,300738,63.63636363636363,,-0.5747368402218744,-0.08183807439824942,-0.011378555798687073,-0.09236313205272406
20220104,688618,54.54545454545454,,0.13620634679018284,0.10236220472440949,-0.10214348206474189,-0.06832847234182127
20220104,002818,47.72727272727273,,,-0.03312302839116721,-0.06309148264984221,0.06381532003288748
20220104,601518,82.6923076923077,,1.812324607399413,-0.0072202166064981865,0.025270758122743597,-0.03596266727803843
20220104,600015,45.83333333333333,,,0.02486678507992912,0.001776198934280604,-0.01633316352967218
20220104,603327,70.43010752688173,,0.041045512680763785,-0.14358394573205202,-0.21311475409836067,0.04987029592421832
20220104,300394,96.96969696969697,,-1.26453770428513,-0.08024182467710916,-0.23193184940917844,-0.26221380233172875
20220104,601811,82.0,,0.1335297352317701,-0.0344827586206895,0.06465517241379315,0.010200995243177635
20220104,603095,73.20574162679426,1.8150335028493374,1.5884667781213868,0.07159533073929958,-0.01945525291828798,-0.11245503297693116
20220104,300580,87.59124087591242,,,0.01538461538461533,-0.26813186813186807,-0.22088111051475012
20220104,601985,82.92682926829268,,,-0.10784313725490191,-0.02083333333333326,-0.14583333333333337
20220104,300913,72.72727272727273,,0.2894560343556075,-0.09815950920245398,-0.10393359797906898,-0.13634463088006799
20220104,600901,100.0,,,-0.023346303501945664,-0.029182879377431914,0.09302462630180686
20220104,600012,100.0,,,0.12448132780082988,0.10511756569847863,0.03872752420470271
20220104,601229,66.66666666666666,-0.35204293672763276,,-0.006973500697350032,-0.05997210599721048,-0.08647140864714076
20220104,002839,25.0,-0.02025570933843519,,0.10977701543739271,0.11149228130360211,0.11465788796756904
20220104,600016,29.166666666666668,-1.3852930465948716,,0.002557544757033181,-0.012787723785166238,0.0024132455370819983
20220104,301000,79.56204379562044,,0.5912059016807459,-0.07789799072642978,-0.12534775888717153,-0.12503404680503627
20220104,601928,80.0,,-0.7156076173474603,-0.08759124087591241,0.0036496350364962904,-0.12652068126520688
20220104,002195,95.45454545454545,,-1.0036079787707846,-0.027237354085603238,-0.08560311284046696,-0.12833363459512503
20220104,002913,68.81720430107528,,-0.39545519628587705,-0.1455080624520091,-0.22024571282313787,-0.174501917712782
20220104,688318,86.36363636363636,,-0.7695079976236276,0.11103891884867778,-0.15535052953024486,-0.1040850910701494
20220104,000823,60.752688172043015,,0.82280003882971,-0.13075237399561723,-0.1964937910883856,-0.2497956469328969
20220104,601919,86.53846153846155,,-0.10497293104037236,-0.15663265306122442,-0.1301020408163266,-0.24820330493149767
20220104,601339,87.75510204081633,,,0.1842546063651591,0.09715242881072017,-0.06187180093920819
20220104,600020,67.3076923076923,,,-0.01812688821752273,0.0030211480362538623,-0.06344410876132933
20220104,002406,46.715328467153284,,0.020259614701884154,-0.09250398724082931,-0.12759170653907492,-0.1722488038277512
20220104,603926,69.34306569343066,,-0.08513003438912387,-0.07655213984327913,-0.16515973477998802,-0.19266449968017008
20220104,601019,72.0,,-0.45056108752720586,-0.033175355450236976,0.03791469194312791,0.056872037914691864
20220104,688678,72.04301075268818,-0.7243265062315111,,-0.17212121212121212,-0.37242424242424244,-0.1811202496000044
20220104,603637,88.0,,,-0.16388616290480862,-0.11383709519136398,-0.1668019673295883
20220104,300893,83.94160583941606,,-0.5067148801197087,-0.16525871172122486,-0.3841077085533262,-0.19373103644466005
20220104,688668,81.81818181818183,0.48767470303641913,,-0.16454973597830747,-0.26644783787640935,0.06003891148455853
20220104,300570,90.9090909090909,,,-0.13252346769740464,-0.19657647708448367,-0.15609018771507577
20220104,603685,77.41935483870968,,-1.282058295857135,-0.11856474258970351,-0.12402496099843996,-0.20748829953198122
20220104,003816,87.8048780487805,,-0.8732563336022272,-0.060509554140127375,-0.1273885350318471,-0.10828025477707004
20220104,300938,80.95238095238095,,0.14476998733875285,-0.1615030981411153,-0.06815910453727758,-0.04132318867510909
20220104,300951,76.88172043010752,,-1.672198788760146,-0.16579917588375626,-0.269898069833008,-0.2193871419891814
20220104,003031,75.75757575757575,,1.587881068737196,0.05844314299658371,0.1255490483162518,0.21598035465390764
20220104,603006,62.04379562043796,,1.3353909125168717,-0.10304659498207891,-0.15860215053763438,-0.15880278234522915
20220104,605100,85.64593301435407,,,-0.05943251533742322,-0.14877300613496924,-0.1979237412509881
20220104,300458,55.91397849462365,,-0.6076837327416856,-0.1409942950285249,-0.13969030154849227,-0.10014555954102022
20220104,000807,54.166666666666664,,,0.034914950760966734,0.2094897045658013,-0.08956448693226482
20220104,002039,65.85365853658537,,-0.6458590715614964,-0.14533205004812322,-0.16987487969201165,3.173605098050203e-05
20220104,600377,84.61538461538461,,,0.04347826086956519,-0.0240274599542335,-0.027459954233409634
20220104,600742,32.846715328467155,,,-0.09776304888152432,-0.19718309859154926,-0.20383939946327412
20220104,603599,25.96685082872928,,1.1243663916231952,-0.15776081424936395,-0.18829516539440205,0.06395622643840904
20220104,603239,42.33576642335766,,,-0.2176370830977954,-0.2707744488411532,-0.11162538411582001
20220104,300921,45.45454545454545,,0.7702925471346318,0.3371298405466969,0.0742596810933942,-0.09949780630429084
20220104,601336,97.91666666666666,,,-0.018181818181818188,-0.08527528809218954,-0.17951344430217664
20220104,601988,91.66666666666666,-0.27413340402792113,,0.019543973941368087,0.07166123778501632,0.061889250814332275
20220104,603100,68.89952153110048,,0.23515172424250125,-0.17822242903676122,-0.33969288040949275,-0.14132766201926283
20220104,603809,61.31386861313869,,,-0.004997501249375258,-0.21739130434782605,-0.11906011008626738
