2026-09-01 14:06:32.280 | INFO     | valuation_filter:apply_valuation_filter:201 -   R035 失血剔除: 828 只
2026-09-01 14:07:18.360 | INFO     | universe:get_universe:201 - universe @ 20221130: 4585 stocks (removed: 641 unlisted, 259 ST, 30 IPO-locked)
2026-09-01 14:07:21.497 | INFO     | valuation_filter:apply_valuation_filter:196 - 估值排雷 @ 20221130: 4585→2270 (剔除: {'neg_pe': 458, 'nonrecurring': 416, 'deviation': 0, 'peg': 158, 'liquidity': 0, 'cash_burn': 831, 'goodwill': 56, 'double_high': 396})
2026-09-01 14:07:21.498 | INFO     | valuation_filter:apply_valuation_filter:201 -   R035 失血剔除: 831 只
2026-09-01 14:07:57.442 | INFO     | universe:get_universe:201 - universe @ 20221230: 4619 stocks (removed: 581 unlisted, 260 ST, 55 IPO-locked)
2026-09-01 14:08:00.303 | INFO     | valuation_filter:apply_valuation_filter:196 - 估值排雷 @ 20221230: 4619→2303 (剔除: {'neg_pe': 458, 'nonrecurring': 416, 'deviation': 0, 'peg': 158, 'liquidity': 0, 'cash_burn': 831, 'goodwill': 56, 'double_high': 397})
2026-09-01 14:08:00.303 | INFO     | valuation_filter:apply_valuation_filter:201 -   R035 失血剔除: 831 只
2026-09-01 14:08:40.333 | INFO     | universe:get_universe:201 - universe @ 20230131: 4660 stocks (removed: 571 unlisted, 260 ST, 24 IPO-locked)
2026-09-01 14:08:43.493 | INFO     | valuation_filter:apply_valuation_filter:196 - 估值排雷 @ 20230131: 4660→2339 (剔除: {'neg_pe': 458, 'nonrecurring': 418, 'deviation': 0, 'peg': 158, 'liquidity': 0, 'cash_burn': 834, 'goodwill': 56, 'double_high': 397})
2026-09-01 14:08:43.493 | INFO     | valuation_filter:apply_valuation_filter:201 -   R035 失血剔除: 834 只
2026-09-01 14:09:36.492 | INFO     | universe:get_universe:201 - universe @ 20230228: 4684 stocks (removed: 547 unlisted, 261 ST, 23 IPO-locked)
2026-09-01 14:09:41.009 | INFO     | valuation_filter:apply_valuation_filter:196 - 估值排雷 @ 20230228: 4684→2360 (剔除: {'neg_pe': 459, 'nonrecurring': 418, 'deviation': 0, 'peg': 158, 'liquidity': 0, 'cash_burn': 835, 'goodwill': 56, 'double_high': 398})
2026-09-01 14:09:41.009 | INFO     | valuation_filter:apply_valuation_filter:201 -   R035 失血剔除: 835 只
2026-09-01 14:10:21.887 | INFO     | universe:get_universe:201 - universe @ 20230331: 4712 stocks (removed: 513 unlisted, 262 ST, 28 IPO-locked)
2026-09-01 14:10:24.564 | INFO     | valuation_filter:apply_valuation_filter:196 - 估值排雷 @ 20230331: 4712→2384 (剔除: {'neg_pe': 459, 'nonrecurring': 418, 'deviation': 0, 'peg': 158, 'liquidity': 0, 'cash_burn': 838, 'goodwill': 57, 'double_high': 398})
2026-09-01 14:10:24.564 | INFO     | valuation_filter:apply_valuation_filter:201 -   R035 失血剔除: 838 只
2026-09-01 14:11:02.636 | INFO     | universe:get_universe:201 - universe @ 20230428: 4739 stocks (removed: 478 unlisted, 262 ST, 36 IPO-locked)
2026-09-01 14:11:04.896 | INFO     | valuation_filter:apply_valuation_filter:196 - 估值排雷 @ 20230428: 4739→2513 (剔除: {'neg_pe': 459, 'nonrecurring': 418, 'deviation': 0, 'peg': 158, 'liquidity': 0, 'cash_burn': 722, 'goodwill': 58, 'double_high': 411})
2026-09-01 14:11:04.896 | INFO     | valuation_filter:apply_valuation_filter:201 -   R035 失血剔除: 722 只
2026-09-01 14:11:45.178 | INFO     | universe:get_universe:201 - universe @ 20230531: 4775 stocks (removed: 447 unlisted, 262 ST, 31 IPO-locked)
