,nav
20220104,99700897.33916822
20220105,98289074.04737382
20220106,99408498.82838988
20220107,98117020.89204028
20220110,98982952.61294477
20220111,98399199.89183757
20220112,99355814.95520324
20220113,98569348.40203866
20220114,98053341.06220499
20220117,100333316.13466893
20220118,99995466.10246532
20220119,99931754.7524151
20220120,97703829.63480914
20220121,96877657.24847935
20220124,96750050.26320033
20220125,92873941.22819169
20220126,93936693.18309693
20220127,91341370.81336777
20220128,92145071.24490838
20220207,93745197.37376228
20220208,95085407.26925962
20220209,96263195.5711919
20220210,96448265.91093796
20220211,94705689.41910465
20220214,94048009.81563485
20220215,94348913.84001304
20220216,95711022.25433215
20220217,95529637.43843928
20220218,96186510.59613022
20220221,96883587.92730394
20220222,95808136.93352517
20220223,97104984.13842733
20220224,94990636.71742697
20220225,96038240.87443015
20220228,96102847.66943598
20220301,96223732.38127394
20220302,96315537.58663411
20220303,96582192.87258388
20220304,95342095.51158209
20220307,93865604.98810592
20220308,90684614.81652422
20220309,89053480.25203995
20220310,90896068.35457271
20220311,91733959.11737098
20220314,89231107.24914894
20220315,84051867.43478426
20220316,86159851.90984936
20220317,87582727.07442144
20220318,88903250.48825713
20220321,89336366.59557433
20220322,89514084.57006438
20220323,89964744.20523265
20220324,89161524.53561604
20220325,88723163.24388015
20220328,88812419.8256707
20220329,88327193.06356178
20220330,90036866.2786534
20220331,90103078.23463286
20220401,90787436.52044141
20220406,91611087.44848518
20220407,89853838.27838048
20220408,89749033.65178105
20220411,87346438.43285847
20220412,88718594.13223852
20220413,87657099.32543913
20220414,89072926.7872279
20220415,87545212.73220995
20220418,87742598.02912994
20220419,88030599.67036644
20220420,87105927.22121
20220421,84422387.51520315
20220422,84422868.13576695
20220425,78753743.56227148
20220426,76448662.84110709
20220427,78651356.95374365
20220428,77351411.80730468
20220429,79937420.79776971
20220505,81402727.91026266
20220506,79872418.4278551
20220509,80647530.03379215
20220510,81648509.62798122
20220511,82285170.22109273
20220512,82744345.18477428
20220513,83520998.09566317
20220516,83573388.31208517
20220517,83455721.53561306
20220518,83960991.22537263
20220519,84427453.5579808
20220520,85882319.8740597
20220523,86874092.44492823
20220524,83763057.38267359
20220525,85149305.8161239
20220526,85434742.80998394
20220527,85289774.52995278
20220530,86059356.62231484
20220531,86752809.40204372
20220601,86950637.26730148
20220602,87673345.45319238
20220606,89085064.67846468
20220607,88532806.92133449
20220608,88629861.168568
20220609,87671548.52151345
20220610,89227052.2144511
20220613,89718605.96126176
20220614,89939895.70739493
20220615,89646784.93536098
20220616,89786852.65875466
20220617,90343069.31360571
20220620,90849142.08930762
20220621,89707719.22842859
20220622,88686683.8738933
20220623,90269886.14934258
20220624,91189602.64735663
20220627,91606484.38426942
20220628,92151842.51702583
20220629,90386298.79467566
20220630,90858420.58689994
20220701,90895564.84257165
20220704,91464562.39533259
20220705,91319689.15687972
20220706,90206252.35519549
20220707,91020004.56471515
20220708,90727610.8205301
20220711,89949734.15004408
20220712,88676962.95731245
20220713,89655625.949038
20220714,90245549.08232397
20220715,90061689.99659555
20220718,92308493.61758696
20220719,93316515.29858726
20220720,93907902.23073472
20220721,93319497.27682912
20220722,93116940.72186755
20220725,92508311.9932849
20220726,93294879.72305435
20220727,94610644.98017834
20220728,95316260.39495371
20220729,95322670.81538579
20220801,96240778.04037175
20220802,93546806.61912987
20220803,93546955.29937604
20220804,94266532.91512875
20220805,94790297.38514024
20220808,96375991.12865041
20220809,96838138.00164454
20220810,97340322.56661715
20220811,98150162.11333843
20220812,96878052.73723562
20220815,97786477.70532818
20220816,98961338.67736596
20220817,98937086.58419621
20220818,99541788.75889446
20220819,98039086.53425977
20220822,98783616.1182831
20220823,99529089.80235185
20220824,96448956.61493202
20220825,96037695.47696242
20220826,95353073.75316778
20220829,96178095.30323982
20220830,94990466.60172524
20220831,91831418.51889022
20220901,90963522.35210562
20220902,92126673.1657479
20220905,92437479.44305179
20220906,93898113.33222976
20220907,94426986.26886882
20220908,93623367.93712658
20220909,93483958.10525231
20220913,93978294.82980292
20220914,93232861.60218896
20220915,90949912.89625004
20220916,89265862.91498114
20220919,88527799.4681669
20220920,89952565.9049267
20220921,90136630.23645648
20220922,90072314.78529394
20220923,88346314.94157238
20220926,86800563.40986249
20220927,88326194.08330825
20220928,85960926.08562231
20220929,86109972.23286809
20220930,85002447.72501864
20221010,83655604.55890599
20221011,83839001.05633849
20221012,85573693.73745863
20221013,85868984.5207206
20221014,87577973.58322199
20221017,88260817.44011335
20221018,88546430.51966394
20221019,87852830.98477812
20221020,87175335.10340016
20221021,87065854.19645326
20221024,85976327.95484209
20221025,85623928.22394155
20221026,86817828.58232063
20221027,86823144.61941846
20221028,83460954.35626346
20221031,83554811.23147291
20221101,85000022.34349436
20221102,86070347.59138162
20221103,86131872.94552766
20221104,87732628.02666953
20221107,88368767.84217021
20221108,87990491.62008947
20221109,87738072.73309316
20221110,87192364.81125692
20221111,87312663.46478705
20221114,87096723.18604824
20221115,88699281.5889115
20221116,88212970.86647758
20221117,88382212.47811435
20221118,87895916.78300658
20221121,88380697.1523511
20221122,87835063.69289915
20221123,87544547.43134837
20221124,87796824.87977396
20221125,87388331.53157264
20221128,86701602.64809911
20221129,87933922.78463395
20221130,88170415.57848561
20221201,88240801.53929454
20221202,88536493.97911672
20221205,88984230.49544226
20221206,88639232.96057807
20221207,88790287.2520287
20221208,88924449.90623812
20221209,89435531.90328586
20221212,88427799.52638175
20221213,87735504.79364882
20221214,87291443.18408218
20221215,87597973.39789039
20221216,86579975.83078717
20221219,84983033.0003463
20221220,84252227.98627444
20221221,83906752.72194362
20221222,82706855.13570364
20221223,82320107.79224446
20221226,83352086.66107014
20221227,83862654.84146331
20221228,83277275.80094849
20221229,82959961.45560272
20221230,83411574.48231149
20230103,84887037.13797668
20230104,85082531.91522658
20230105,85775511.2183546
20230106,86100278.00807402
20230109,86872126.17550573
20230110,86871699.5132415
20230111,86704603.0804794
20230112,87101586.62539394
20230113,87483724.68438165
20230116,88240095.00716792
20230117,88392836.13408041
20230118,89005583.28546053
20230119,89401365.93566293
20230120,90123532.40654227
20230130,90999478.57717836
20230131,91263824.60378313
20230201,92522741.33996984
20230202,92391044.81338993
20230203,92344700.52197734
20230206,92172078.47541499
20230207,93420295.24850254
20230208,92904549.57422769
20230209,94706999.25655904
20230210,94446917.15626454
20230213,95406881.88745494
20230214,95327112.57875644
20230215,95762675.31754014
20230216,93551258.56250353
20230217,92863465.24377196
20230220,94724562.75201055
20230221,95190195.7689625
20230222,94827198.23210509
20230223,94732252.17998162
20230224,94647836.60921606
20230227,94016265.58531176
20230228,94781150.56006292
20230301,95726411.52737007
20230302,95549148.57473472
20230303,95218407.02166632
20230306,95103902.4755042
20230307,93348295.0055451
20230308,94044370.87301575
20230309,94219619.27801529
20230310,92679305.54766467
20230313,93279739.40338221
20230314,92187674.53135611
20230315,92561356.00701118
20230316,91307513.57590036
20230317,92576216.52891846
20230320,92395961.63281615
20230321,93846891.90203214
20230322,94637328.12191235
20230323,94953497.07134517
20230324,95214958.20787765
20230327,94971011.36565335
20230328,94376157.2926706
20230329,94365728.24913874
20230330,93888371.43665266
20230331,94754749.5882894
20230403,96111067.70302111
20230404,95646157.6860207
20230406,96943231.99147092
20230407,97902299.35997997
20230410,96851757.2225357
20230411,97560422.22352913
20230412,99772358.58670071
20230413,98126764.94629362
20230414,100120265.2828386
20230417,100172103.01120846
20230418,100563926.5732332
20230419,101141196.71942064
20230420,103061240.84924117
20230421,99346651.42041291
20230424,99965284.84520279
20230425,97058252.43312722
20230426,95830488.22121951
20230427,94254653.81487538
20230428,97522886.5981016
20230504,96277743.06315175
20230505,94944289.84905368
20230508,96044665.10053204
20230509,94708860.25209361
20230510,95126603.57761663
20230511,95045306.90277615
20230512,94260448.92165804
20230515,95734450.11645351
20230516,94748779.48422083
20230517,95622871.54099062
20230518,96517620.17124605
20230519,96260385.1080444
20230522,96540961.1647493
20230523,95647496.47330783
20230524,96063843.35549676
20230525,96477570.98788953
20230526,96519513.47387917
20230529,96721339.00594684
20230530,97480036.78100343
20230531,97261288.55616586
20230601,97311652.33814266
20230602,97989064.90850733
20230605,98498199.07504445
20230606,97023672.95713852
20230607,97277167.79869771
20230608,97346345.32033722
20230609,97884326.42825325
20230612,98306935.34861122
20230613,98337413.78749809
20230614,98148645.94344306
20230615,98521650.01788028
20230616,98938246.42155732
20230619,98412761.5744641
20230620,97919745.8402788
20230621,97123531.91037852
20230626,95814549.2550334
20230627,97610052.59817839
20230628,97716597.84416527
20230629,97985078.2698927
20230630,98825019.72755256
20230703,99682296.78285368
20230704,100157866.85493036
20230705,99810147.13909043
20230706,99764093.08404623
20230707,99762495.03847209
20230710,99967406.34574717
20230711,100829555.89461128
20230712,100403864.83674026
20230713,101053846.68768547
20230714,100899786.12113057
20230717,100663385.76867205
20230718,100722341.22045954
20230719,100746796.79577555
20230720,99756140.78237869
20230721,99143137.00409554
20230724,99094664.61542962
20230725,100950010.82647116
20230726,100384743.96936512
20230727,100214419.88798337
20230728,101226188.71058235
20230731,101549816.4983157
20230801,101011682.01883093
20230802,100569473.80586761
20230803,100512673.02771112
20230804,100392237.59313042
20230807,99932892.73782441
20230808,99695472.71179825
20230809,98895779.43051107
20230810,99336621.90621808
20230811,97914789.23555924
20230814,98095502.1078178
20230815,97997981.08122247
20230816,96992095.71285759
20230817,98426219.25884992
20230818,97628952.09468783
20230821,96824521.49401526
20230822,96697874.9622425
20230823,95506088.25002956
20230824,95410897.18711855
20230825,93824514.92325452
20230828,94907839.17266661
20230829,98122102.53363928
20230830,98864169.27139702
20230831,98758686.77518155
20230901,98858075.001192
20230904,100125091.70608497
20230905,99665819.40662998
20230906,99940126.15053387
20230907,98488554.89654729
20230908,98366170.12822141
20230911,99326137.47984858
20230912,99151360.85737665
20230913,98597270.77715753
20230914,98563652.80625789
20230915,98448977.77488068
20230918,98918580.11608763
20230919,98325470.39840251
20230920,97772725.79928632
20230921,97033851.41665265
20230922,98509396.70133604
20230925,98444439.23382773
20230926,98135314.60880728
20230927,98804132.99554983
20230928,99700075.33846936
20231009,99378293.22244978
20231010,98280879.24377084
20231011,98299989.88039623
20231012,98938787.28183624
20231013,98321207.7377436
20231016,97807390.11998376
20231017,98070046.98361078
20231018,96756501.1413668
20231019,95351059.56042999
20231020,94688228.47360224
20231023,92757130.64943394
20231024,94398082.92574765
20231025,94926063.6258177
20231026,95242545.3155198
20231027,96622187.77444546
20231030,97074853.78759114
20231031,96760309.98260073
20231101,96525889.58707608
20231102,95667656.08717881
20231103,96537557.84391053
20231106,97772863.88362367
20231107,97863145.80613992
20231108,97766905.39072974
20231109,97416414.4125127
20231110,97116887.92898121
20231113,97970251.07862197
20231114,98044476.55771196
20231115,98729141.02721663
20231116,98081639.71742047
20231117,98797502.15840828
20231120,99284144.48782092
20231121,98816486.912018
20231122,97845443.21390654
20231123,98948065.64670481
20231124,97915130.76450208
20231127,98292492.41878839
20231128,98943705.10283472
20231129,98397480.78552283
20231130,98173276.09167206
20231201,98178004.31533846
20231204,97900061.50411694
20231205,96357342.3986684
20231206,96704062.93579853
20231207,96348931.93766588
20231208,95655272.51639378
20231211,96623602.83617449
20231212,97030177.30629586
20231213,96292586.19444998
20231214,96269657.40180854
20231215,95777487.30182777
20231218,94853907.82903868
20231219,94832276.49264275
20231220,93972807.04206768
20231221,94677116.73088828
20231222,94256334.64908893
20231225,94360005.69529268
20231226,93399974.043153
20231227,93908634.5989022
20231228,95481110.64903747
20231229,96403333.83481388
20240102,96882798.15949886
20240103,97017633.64385991
20240104,96969334.65601295
20240105,96182008.77005354
20240108,94807704.80378336
20240109,95594682.92096789
20240110,95367622.52970952
20240111,96593423.38603033
20240112,96449576.18880513
20240115,96897420.39058727
20240116,96830379.97109716
20240117,95217261.02242272
20240118,94674611.64179017
20240119,93751237.95691307
20240122,88994438.19718963
20240123,89782913.41790733
20240124,91042632.96334633
20240125,93862336.90204886
20240126,93609251.50654957
20240129,92001135.94417457
20240130,89907531.32567169
20240131,87696987.80899203
20240201,86703556.65004116
20240202,84259930.76894356
20240205,81259672.53166942
20240206,85283103.34797138
20240207,86832657.78817628
20240208,90260496.39238603
20240219,91296672.39194661
20240220,91699077.51911807
20240221,92341389.95056741
20240222,93103041.53248751
20240223,93977458.4598393
20240226,94331398.01520418
20240227,95742990.838138
20240228,92397823.10640219
