code,day,E,upgraded,stayed_l1,fell
300482,20220104,E0,True,False,False
300483,20220104,E0,True,False,False
300488,20220104,E0,True,False,False
300503,20220104,E0,True,False,False
300505,20220104,E0,True,False,False
300508,20220104,E0,False,True,False
300529,20220104,E0,True,False,False
300548,20220104,E1,True,False,False
300549,20220104,E0,True,False,False
300554,20220104,E0,True,False,False
300558,20220104,E0,False,True,False
300563,20220104,E0,True,False,False
300576,20220104,E0,True,False,False
300585,20220104,E0,True,False,False
300587,20220104,E1,False,True,False
300595,20220104,E0,True,False,False
300601,20220104,E0,False,True,False
300614,20220104,E2,False,True,False
300621,20220104,E0,True,False,False
300623,20220104,E0,True,False,False
300626,20220104,E0,True,False,False
300628,20220104,E0,True,False,False
300639,20220104,E0,True,False,False
300642,20220104,E0,False,True,False
300643,20220104,E1,True,False,False
300661,20220104,E0,True,False,False
300671,20220104,E0,True,False,False
300676,20220104,E0,False,True,False
300677,20220104,E1,False,True,False
300685,20220104,E0,False,True,False
300693,20220104,E1,False,True,False
300706,20220104,E1,True,False,False
300708,20220104,E0,False,True,False
300710,20220104,E1,False,True,False
300719,20220104,E0,True,False,False
300720,20220104,E0,True,False,False
300724,20220104,E0,True,False,False
300725,20220104,E0,False,True,False
300727,20220104,E1,False,True,False
300747,20220104,E1,False,True,False
300758,20220104,E1,False,True,False
300760,20220104,E1,True,False,False
300762,20220104,E1,False,True,False
300772,20220104,E0,False,True,False
300780,20220104,E0,True,False,False
300782,20220104,E0,True,False,False
300814,20220104,E2,False,True,False
300821,20220104,E0,False,True,False
300825,20220104,E0,False,True,False
300829,20220104,E1,False,True,False
300832,20220104,E0,True,False,False
300854,20220104,E2,False,True,False
300861,20220104,E1,True,False,False
300875,20220104,E0,True,False,False
300880,20220104,E0,True,False,False
300891,20220104,E0,False,True,False
300894,20220104,E0,False,True,False
300896,20220104,E1,True,False,False
300898,20220104,E1,False,True,False
300906,20220104,E0,True,False,False
300908,20220104,E0,False,True,False
300909,20220104,E0,True,False,False
300931,20220104,E0,True,False,False
300942,20220104,E1,False,True,False
300946,20220104,E0,True,False,False
300950,20220104,E1,False,True,False
300955,20220104,E2,False,True,False
300958,20220104,E2,False,True,False
300962,20220104,E2,False,True,False
300964,20220104,E2,False,True,False
300965,20220104,E2,False,True,False
300966,20220104,E2,True,False,False
300967,20220104,E2,False,True,False
300968,20220104,E2,True,False,False
300969,20220104,E2,False,True,False
300970,20220104,E2,False,True,False
300972,20220104,E2,True,False,False
300973,20220104,E2,False,True,False
300978,20220104,E2,False,True,False
300979,20220104,E2,True,False,False
300992,20220104,E2,True,False,False
300997,20220104,E2,False,True,False
300998,20220104,E2,True,False,False
301001,20220104,E2,False,True,False
301006,20220104,E2,False,True,False
301007,20220104,E2,True,False,False
301009,20220104,E2,True,False,False
301011,20220104,E2,False,True,False
301018,20220104,E2,False,True,False
301020,20220104,E2,False,True,False
301021,20220104,E2,False,True,False
301022,20220104,E2,True,False,False
301028,20220104,E2,False,True,False
301029,20220104,E2,False,True,False
301031,20220104,E2,False,True,False
301035,20220104,E2,False,True,False
301039,20220104,E2,False,True,False
301040,20220104,E2,False,True,False
301041,20220104,E2,False,True,False
301047,20220104,E2,False,True,False
301049,20220104,E2,False,True,False
301050,20220104,E2,False,True,False
301052,20220104,E2,False,True,False
301053,20220104,E2,False,True,False
301055,20220104,E2,False,True,False
301056,20220104,E2,False,True,False
301057,20220104,E2,False,True,False
301058,20220104,E2,False,True,False
301060,20220104,E2,False,True,False
301062,20220104,E2,False,True,False
301065,20220104,E2,False,True,False
301066,20220104,E2,False,True,False
301068,20220104,E2,False,True,False
301069,20220104,E2,False,True,False
301071,20220104,E2,False,True,False
301072,20220104,E2,False,True,False
301075,20220104,E2,False,True,False
301079,20220104,E2,False,True,False
301080,20220104,E2,False,True,False
301082,20220104,E2,False,True,False
301083,20220104,E2,False,True,False
301085,20220104,E2,False,True,False
301087,20220104,E2,False,True,False
301089,20220104,E2,False,True,False
301090,20220104,E2,False,True,False
301091,20220104,E2,False,True,False
301092,20220104,E2,False,True,False
301093,20220104,E2,False,True,False
301108,20220104,E2,False,True,False
301118,20220104,E2,False,True,False
301119,20220104,E2,False,True,False
301128,20220104,E2,False,True,False
301129,20220104,E2,False,True,False
301133,20220104,E2,False,True,False
301149,20220104,E2,False,True,False
301155,20220104,E2,False,True,False
301169,20220104,E2,False,True,False
301178,20220104,E2,False,True,False
301180,20220104,E2,False,True,False
301185,20220104,E2,False,True,False
301188,20220104,E2,False,True,False
600025,20220104,E0,True,False,False
600031,20220104,E0,True,False,False
600032,20220104,E2,True,False,False
600036,20220104,E0,False,True,False
600050,20220104,E0,True,False,False
600061,20220104,E0,True,False,False
600075,20220104,E0,True,False,False
600081,20220104,E1,True,False,False
600094,20220104,E0,False,True,False
600103,20220104,E0,True,False,False
600108,20220104,E1,True,False,False
600118,20220104,E0,False,True,False
600150,20220104,E0,True,False,False
600161,20220104,E0,False,True,False
600166,20220104,E0,False,True,False
600171,20220104,E0,True,False,False
600183,20220104,E1,True,False,False
600185,20220104,E0,False,True,False
600189,20220104,E0,False,True,False
600208,20220104,E1,False,True,False
600215,20220104,E0,True,False,False
600216,20220104,E1,True,False,False
600230,20220104,E0,True,False,False
600236,20220104,E1,True,False,False
600251,20220104,E0,True,False,False
600276,20220104,E0,False,True,False
600295,20220104,E0,True,False,False
600307,20220104,E1,True,False,False
600308,20220104,E0,True,False,False
600316,20220104,E1,False,True,False
600352,20220104,E0,True,False,False
600359,20220104,E0,True,False,False
600363,20220104,E1,True,False,False
600373,20220104,E1,True,False,False
600398,20220104,E0,True,False,False
600425,20220104,E1,True,False,False
600426,20220104,E0,True,False,False
600428,20220104,E0,True,False,False
600468,20220104,E1,True,False,False
600470,20220104,E0,True,False,False
600509,20220104,E0,False,True,False
600512,20220104,E0,True,False,False
600517,20220104,E0,False,True,False
600540,20220104,E0,False,True,False
600546,20220104,E0,True,False,False
600548,20220104,E0,True,False,False
600582,20220104,E0,True,False,False
600583,20220104,E0,True,False,False
600586,20220104,E0,False,True,False
600598,20220104,E0,True,False,False
600609,20220104,E0,True,False,False
600618,20220104,E0,True,False,False
600635,20220104,E1,True,False,False
600644,20220104,E1,True,False,False
600653,20220104,E0,True,False,False
600660,20220104,E1,False,True,False
600691,20220104,E0,True,False,False
600717,20220104,E1,True,False,False
600740,20220104,E0,False,True,False
600746,20220104,E0,True,False,False
600749,20220104,E0,True,False,False
600760,20220104,E0,True,False,False
600779,20220104,E0,False,True,False
600780,20220104,E0,True,False,False
600782,20220104,E0,True,False,False
600792,20220104,E1,False,True,False
600793,20220104,E0,True,False,False
600798,20220104,E0,True,False,False
600802,20220104,E0,True,False,False
600808,20220104,E0,True,False,False
600809,20220104,E1,True,False,False
600816,20220104,E0,True,False,False
600819,20220104,E1,True,False,False
600825,20220104,E1,True,False,False
600827,20220104,E0,True,False,False
600831,20220104,E1,True,False,False
600841,20220104,E0,True,False,False
600845,20220104,E0,True,False,False
600846,20220104,E1,True,False,False
600863,20220104,E1,True,False,False
600867,20220104,E1,True,False,False
600888,20220104,E1,True,False,False
600903,20220104,E0,False,True,False
600905,20220104,E2,True,False,False
600908,20220104,E0,False,True,False
600916,20220104,E1,False,True,False
600926,20220104,E0,True,False,False
600928,20220104,E0,False,True,False
600935,20220104,E2,False,True,False
600955,20220104,E2,False,True,False
600956,20220104,E0,False,True,False
600959,20220104,E0,True,False,False
600961,20220104,E1,False,True,False
600966,20220104,E0,False,True,False
600988,20220104,E0,True,False,False
600997,20220104,E0,False,True,False
601002,20220104,E0,True,False,False
601003,20220104,E1,False,True,False
601016,20220104,E1,False,True,False
601066,20220104,E0,True,False,False
601100,20220104,E0,False,True,False
601139,20220104,E0,False,True,False
601156,20220104,E2,True,False,False
601162,20220104,E0,True,False,False
601163,20220104,E0,True,False,False
601229,20220104,E0,False,True,False
601279,20220104,E2,True,False,False
601298,20220104,E1,True,False,False
601318,20220104,E1,True,False,False
601319,20220104,E0,True,False,False
601330,20220104,E1,False,True,False
601336,20220104,E0,False,True,False
601555,20220104,E1,True,False,False
601568,20220104,E0,True,False,False
601577,20220104,E0,False,True,False
601579,20220104,E0,True,False,False
601595,20220104,E0,True,False,False
601598,20220104,E0,True,False,False
601601,20220104,E0,False,True,False
601608,20220104,E0,True,False,False
601616,20220104,E1,True,False,False
601619,20220104,E0,True,False,False
601628,20220104,E1,True,False,False
601633,20220104,E0,False,True,False
601665,20220104,E2,True,False,False
601666,20220104,E0,True,False,False
601696,20220104,E0,True,False,False
601698,20220104,E0,False,True,False
601699,20220104,E1,True,False,False
601717,20220104,E0,True,False,False
601728,20220104,E2,False,True,False
601825,20220104,E2,False,True,False
601828,20220104,E0,False,True,False
601838,20220104,E1,True,False,False
601866,20220104,E0,True,False,False
601888,20220104,E0,True,False,False
601898,20220104,E0,True,False,False
601901,20220104,E0,True,False,False
601908,20220104,E0,False,True,False
601921,20220104,E2,False,True,False
601928,20220104,E0,True,False,False
601929,20220104,E1,False,True,False
601939,20220104,E1,True,False,False
601956,20220104,E0,True,False,False
601969,20220104,E0,False,True,False
601995,20220104,E0,True,False,False
601996,20220104,E0,True,False,False
603002,20220104,E0,True,False,False
603013,20220104,E1,True,False,False
603020,20220104,E1,False,True,False
603025,20220104,E0,True,False,False
603026,20220104,E0,False,True,False
603039,20220104,E1,False,True,False
603048,20220104,E2,False,True,False
603067,20220104,E0,True,False,False
603080,20220104,E0,False,True,False
603087,20220104,E0,False,True,False
603113,20220104,E1,False,True,False
603155,20220104,E0,True,False,False
603156,20220104,E0,True,False,False
603166,20220104,E1,True,False,False
603168,20220104,E0,True,False,False
603195,20220104,E1,True,False,False
603213,20220104,E2,False,True,False
603214,20220104,E1,False,True,False
603219,20220104,E2,False,True,False
603225,20220104,E0,False,True,False
603259,20220104,E0,True,False,False
603288,20220104,E0,True,False,False
603308,20220104,E0,False,True,False
603345,20220104,E0,True,False,False
603379,20220104,E0,True,False,False
603392,20220104,E1,True,False,False
603393,20220104,E0,True,False,False
603396,20220104,E1,False,True,False
603416,20220104,E1,False,True,False
603444,20220104,E0,True,False,False
603456,20220104,E1,True,False,False
603486,20220104,E0,True,False,False
603489,20220104,E0,True,False,False
603511,20220104,E2,False,True,False
603529,20220104,E2,True,False,False
603538,20220104,E0,True,False,False
603587,20220104,E0,False,True,False
603613,20220104,E0,False,True,False
603655,20220104,E0,False,True,False
603658,20220104,E1,True,False,False
603662,20220104,E1,False,True,False
603699,20220104,E1,False,True,False
603701,20220104,E0,True,False,False
603727,20220104,E0,False,True,False
603759,20220104,E2,True,False,False
603777,20220104,E0,False,True,False
603787,20220104,E0,True,False,False
603836,20220104,E2,False,True,False
603877,20220104,E0,False,True,False
603899,20220104,E0,True,False,False
603915,20220104,E0,False,True,False
603938,20220104,E0,True,False,False
603948,20220104,E0,True,False,False
603949,20220104,E1,True,False,False
603969,20220104,E0,True,False,False
603987,20220104,E1,False,True,False
603988,20220104,E0,True,False,False
605006,20220104,E0,True,False,False
605011,20220104,E2,False,True,False
605020,20220104,E2,False,True,False
605028,20220104,E2,False,True,False
605056,20220104,E2,False,True,False
605080,20220104,E2,True,False,False
605086,20220104,E2,False,True,False
605089,20220104,E2,True,False,False
605090,20220104,E2,True,False,False
605117,20220104,E2,True,False,False
605162,20220104,E2,False,True,False
605167,20220104,E2,False,True,False
605179,20220104,E1,False,True,False
605208,20220104,E1,False,True,False
605228,20220104,E0,True,False,False
605296,20220104,E2,False,True,False
605300,20220104,E2,False,True,False
605305,20220104,E2,False,True,False
605319,20220104,E2,False,True,False
605339,20220104,E2,False,True,False
