grp,year,upgraded,fwd6
OTHER,2022,True,0.1309799183807567
TECH_OTHER,2022,True,-0.2818832989809715
OTHER,2022,False,0.5583063386202634
TECH_OTHER,2022,True,-0.2342465290976291
OTHER,2022,False,-0.3042749371332774
OTHER,2022,False,-0.1951100557451598
OTHER,2022,False,-0.2730356133408705
OTHER,2022,True,0.041958041958042
OTHER,2022,True,-0.0827814569536423
OTHER,2022,True,0.0491684360725508
OTHER,2022,True,-0.0233722871452422
OTHER,2022,True,-0.0135052179251073
OTHER,2022,True,-0.0467650527323399
OTHER,2022,False,-0.1889682211116509
OTHER,2022,True,0.5487170951019427
OTHER,2022,True,-0.0509916595981833
OTHER,2022,True,-0.2296730930427494
TECH_OTHER,2022,False,-0.3701276302173163
OTHER,2022,True,-0.0838671459004026
OTHER,2022,True,-0.262529832935561
OTHER,2022,True,-0.1498359866668598
OTHER,2022,True,0.3302325581395349
OTHER,2022,True,-0.080051329745574
OTHER,2022,False,-0.3499678114043348
OTHER,2022,True,-0.1472081218274111
OTHER,2022,False,-0.2248677248677247
OTHER,2022,True,-0.0519520077824172
OTHER,2022,True,-0.1354146806482364
OTHER,2022,True,-0.033959053874115
OTHER,2022,True,-0.0895644869322648
OTHER,2022,False,-0.2305826300284815
OTHER,2022,True,0.147831800262812
OTHER,2022,True,-0.1776251226692836
OTHER,2022,True,-0.1926298157453937
OTHER,2022,False,-0.0780192625591602
OTHER,2022,True,-0.1105783637998202
OTHER,2022,True,-0.1047941348754699
OTHER,2022,True,0.0486932473360004
OTHER,2022,True,-0.1972891566265059
OTHER,2022,True,0.2195804195804196
OTHER,2022,True,0.3622598725004635
OTHER,2022,True,0.0473707409931234
OTHER,2022,False,-0.3399540775483693
OTHER,2022,False,-0.1233619767280178
OTHER,2022,False,-0.1810344827586206
OTHER,2022,True,-0.11346316680779
OTHER,2022,True,0.1023454157782515
OTHER,2022,False,-0.4662668665667167
OTHER,2022,True,0.2133093879229692
OTHER,2022,False,0.0672414904545886
OTHER,2022,False,-0.1924928627182655
OTHER,2022,False,-0.0647474795998039
OTHER,2022,False,-0.2649680152304215
OTHER,2022,False,-0.2815045026517558
OTHER,2022,False,-0.0808497040808101
OTHER,2022,False,-0.4063635522102156
OTHER,2022,False,-0.2069043377872411
OTHER,2022,True,-0.2211764705882353
OTHER,2022,True,0.1693622671187256
OTHER,2022,True,-0.0625067111557264
OTHER,2022,True,3.173605098050203e-05
OTHER,2022,False,-0.1713734866037846
OTHER,2022,True,-0.0825242718446601
OTHER,2022,True,9.00813534518985e-05
OTHER,2022,True,-0.2718846549948507
OTHER,2022,True,-0.0067605734369349
OTHER,2022,True,-0.1576413959085439
TECH_OTHER,2022,True,-0.1735274011333066
OTHER,2022,True,0.5684706925466527
OTHER,2022,True,-0.0317071791976101
OTHER,2022,False,-0.1591334553169388
OTHER,2022,True,-0.1992503206509484
OTHER,2022,False,0.1625746609439855
OTHER,2022,True,-0.0771175726927939
OTHER,2022,False,-0.1896193771626297
TECH_OTHER,2022,True,-0.0736225036318326
OTHER,2022,False,0.2938912938912938
TECH_OTHER,2022,True,-0.1271186440677966
OTHER,2022,True,-0.1249689565051664
OTHER,2022,True,-0.1667036168743733
OTHER,2022,False,-0.130081300813008
OTHER,2022,True,-0.168388429752066
OTHER,2022,True,-0.0285143328336791
AI_INFRA,2022,True,-0.2546914018960313
OTHER,2022,False,-0.252513966480447
OTHER,2022,False,-0.1979949874686717
OTHER,2022,True,-0.1841432225063939
OTHER,2022,True,0.0069431751092701
OTHER,2022,True,-0.2235179786200193
OTHER,2022,True,0.1390304659237047
OTHER,2022,False,-0.3263492388746861
OTHER,2022,True,0.3598233995584989
OTHER,2022,False,-0.3165843982507427
TECH_OTHER,2022,False,-0.2770540175584191
TECH_OTHER,2022,False,-0.424124513618677
TECH_OTHER,2022,True,-0.106210392902408
OTHER,2022,True,-0.0223383507690516
OTHER,2022,True,0.1242424242424242
OTHER,2022,True,-0.0293565167260031
TECH_OTHER,2022,True,-0.1561776281473793
OTHER,2022,False,-0.240417613936268
TECH_OTHER,2022,True,-0.2974143624874882
OTHER,2022,False,-0.1424936386768448
OTHER,2022,True,-0.0078241986995325
OTHER,2022,False,-0.2262626262626262
OTHER,2022,False,-0.137970780918648
OTHER,2022,True,0.019926627752427
OTHER,2022,True,0.4132857433442143
OTHER,2022,False,-0.0795599636463475
OTHER,2022,True,-0.1794538054002084
OTHER,2022,True,-0.0675675675675676
OTHER,2022,True,0.2332222931064473
OTHER,2022,True,-0.0059275627559363
OTHER,2022,True,-0.1397849462365591
OTHER,2022,False,0.2092247407614973
OTHER,2022,True,-0.1501554858285948
OTHER,2022,False,-0.2155927909633893
OTHER,2022,False,-0.2432311812918222
OTHER,2022,True,-0.3003690525267559
OTHER,2022,False,-0.2513885511114354
OTHER,2022,True,-0.0573613766730403
OTHER,2022,False,0.0027816411682892
OTHER,2022,False,-0.0921892867609917
OTHER,2022,True,-0.1471631205673759
OTHER,2022,False,0.1881548871469733
OTHER,2022,True,0.0744101633393827
TECH_OTHER,2022,False,-0.3775989268947015
OTHER,2022,False,-0.4081163859111791
OTHER,2022,False,-0.073104535018461
