code,day,state,rps_t0,rps_t1,state_t1,fwd6,fwd6_excess,R1_price,R2_state,R3_excess,year,rps_prev,ind_rps,ind_rps_prev,rps_chg,rps_turn,ind_rps_turn
000059,20220505,L5-A,46.666666666666664,88.88888888888889,L3,0.1597769640686366,0.102696359997491,True,True,True,2022,93.33333333333331,53.333333333333336,53.333333333333336,1.9047619047619049,False,False
000408,20220505,L5-B,34.78260869565217,53.96825396825397,L2,0.1659849022214568,0.0730885630149165,True,True,True,2022,89.13043478260869,51.08695652173913,51.08695652173913,1.5515873015873016,False,False
000420,20220505,L5-B,26.01626016260163,57.23684210526315,L2,0.3775811209439528,0.2827277412817673,True,True,True,2022,71.42857142857143,50.40650406504065,50.3968253968254,2.200041118421052,False,True
000423,20220505,L5-A,35.02824858757062,80.47619047619048,L3,0.2617111626029835,0.1748447957449659,True,True,True,2022,89.30817610062893,50.282485875706215,50.282485875706215,2.2974654377880186,False,False
000534,20220505,L5-B,9.6045197740113,89.04761904761904,L0,0.7590302360209848,0.6721638691629673,True,False,True,2022,85.53459119496856,50.282485875706215,50.282485875706215,9.27142857142857,False,False
000657,20220505,L5-A,8.695652173913043,14.285714285714285,L1,0.5262154440400415,0.4333191048335012,False,False,True,2022,86.95652173913044,51.08695652173913,51.08695652173913,1.6428571428571428,False,False
000717,20220505,L5-A,21.428571428571427,69.23076923076923,L2,-0.199398498092271,-0.0996690088592351,True,True,False,2022,71.42857142857143,51.785714285714285,51.785714285714285,3.230769230769231,False,False
000811,20220505,L5-B,33.07086614173229,86.95652173913044,L3,0.314394297544851,0.0459590140745778,True,True,False,2022,93.5483870967742,50.39370078740158,50.39370078740158,2.6293995859213246,False,False
000920,20220505,L5-A,27.64227642276423,63.1578947368421,L2,0.140650160312624,0.0457967806504385,True,True,False,2022,86.5079365079365,50.40650406504065,50.40650406504065,2.284829721362229,False,False
000969,20220505,L5-A,28.26086956521739,57.14285714285714,L2,0.1749644381223327,0.0820680989157924,True,True,True,2022,71.73913043478261,51.08695652173913,51.08695652173913,2.021978021978022,False,False
000989,20220505,L5-A,60.451977401129945,60.95238095238096,L2,0.0159781143434387,-0.0708882525145788,True,True,False,2022,78.61635220125787,50.282485875706215,50.282485875706215,1.0082777036048065,False,False
002006,20220505,L5-A,81.88976377952756,82.6086956521739,L3,0.4439227960354721,0.1754875125651989,True,True,True,2022,95.96774193548389,50.39370078740158,50.39370078740158,1.0087792642140467,False,False
002008,20220505,L5-A,10.236220472440944,19.565217391304348,L1,-0.0708689458689459,-0.339304229339219,False,False,False,2022,91.12903225806453,50.39370078740158,50.39370078740158,1.9113712374581941,False,False
002011,20220505,L5-A,3.571428571428571,95.34883720930232,L3,0.6751677852348994,0.6796104532745567,True,True,True,2022,100.0,51.785714285714285,51.785714285714285,26.697674418604652,False,False
002026,20220505,L5-A,2.3622047244094486,57.608695652173914,L2,0.2003322255247475,-0.0681030579455256,True,True,False,2022,84.67741935483872,50.39370078740158,50.39370078740158,24.387681159420293,False,False
002043,20220505,L5-A,34.78260869565217,33.33333333333333,L1,-0.1682418926509025,-0.101491325759215,False,False,False,2022,86.95652173913044,52.17391304347826,52.17391304347826,0.9583333333333333,False,False
002068,20220505,L5-A,43.90243902439025,78.94736842105263,L3,0.4028268551236749,0.3079734754614894,True,True,True,2022,94.44444444444444,50.40650406504065,50.40650406504065,1.7982456140350875,False,False
002073,20220505,L5-A,52.75590551181102,84.23913043478261,L3,0.3278350515463917,0.0593997680761185,True,True,True,2022,91.93548387096774,50.39370078740158,50.39370078740158,1.596771576898118,False,False
002088,20220505,L5-B,21.73913043478261,95.83333333333334,L3,0.187773780489785,0.2545243473814725,True,True,True,2022,78.26086956521739,52.17391304347826,52.17391304347826,4.408333333333333,False,False
002141,20220505,L5-A,8.823529411764707,45.714285714285715,L2,0.1837270341207348,0.1812528103461125,False,True,True,2022,83.33333333333334,51.470588235294116,51.470588235294116,5.18095238095238,False,False
002158,20220505,L5-A,27.559055118110237,88.58695652173914,L3,0.8652875903381361,0.596852306867863,True,True,True,2022,70.16129032258065,50.39370078740158,50.39370078740158,3.2144409937888203,False,False
002263,20220505,L5-A,25.203252032520325,34.868421052631575,L0,0.1284046692607003,0.0335512895985147,False,False,False,2022,84.92063492063492,50.40650406504065,50.40650406504065,1.3834889643463495,False,False
002332,20220505,L5-A,36.15819209039548,73.33333333333333,L3,0.1670516991885944,0.0801853323305768,True,True,True,2022,71.69811320754717,50.282485875706215,50.282485875706215,2.0281249999999997,False,False
002334,20220505,L5-A,31.496062992125985,96.19565217391305,L3,0.8919491525423728,0.6235138690720997,True,True,True,2022,79.83870967741935,50.39370078740158,50.39370078740158,3.054211956521739,False,False
002372,20220505,L5-B,30.434782608695656,79.16666666666666,L3,-0.0249625504884245,0.041788016403263,True,True,False,2022,91.30434782608695,52.17391304347826,52.17391304347826,2.6011904761904754,False,False
002416,20220505,L5-A,15.625,93.93939393939394,L3,0.3875338753387534,0.4014168378738104,True,True,True,2022,72.72727272727273,51.5625,51.5625,6.012121212121212,False,False
002483,20220505,L5-A,26.77165354330709,41.30434782608695,L2,0.1308631366242294,-0.1375721468460437,False,True,False,2022,86.29032258064517,50.39370078740158,50.39370078740158,1.5428388746803066,False,False
002549,20220505,L5-A,68.29268292682927,84.86842105263158,L3,0.3154911692655799,0.2206377896033944,True,True,True,2022,83.33333333333334,50.40650406504065,50.40650406504065,1.2427161654135337,False,False
002637,20220505,L5-A,56.09756097560976,13.157894736842104,L1,-0.2615475591784406,-0.356400938840626,False,False,False,2022,73.01587301587301,50.40650406504065,50.40650406504065,0.23455377574370706,False,False
002756,20220505,L5-A,73.91304347826086,50.79365079365079,L0,0.2206249435091176,0.1277286043025773,True,False,True,2022,97.82608695652172,51.08695652173913,51.08695652173913,0.6872082166199813,False,False
002760,20220505,L5-B,62.20472440944882,24.456521739130434,L0,0.0651709401709401,-0.203264343299333,False,False,False,2022,81.45161290322581,50.39370078740158,50.39370078740158,0.39316180517336263,False,False
002824,20220505,L5-A,4.3478260869565215,12.698412698412698,L1,0.207982855836766,0.1150865166302257,False,False,True,2022,95.65217391304348,51.08695652173913,51.08695652173913,2.9206349206349205,False,False
002860,20220505,L5-B,10.714285714285714,86.04651162790698,L3,0.3846825274501477,0.3891251954898049,True,True,True,2022,96.66666666666669,51.785714285714285,51.785714285714285,8.031007751937985,False,False
002886,20220505,L5-A,2.4390243902439024,84.21052631578947,L0,0.2256337535190595,0.130780373856874,True,False,True,2022,95.23809523809524,50.40650406504065,50.40650406504065,34.526315789473685,False,False
002915,20220505,L5-A,40.65040650406504,57.89473684210527,L2,0.2805412593349576,0.1856878796727721,True,True,True,2022,88.09523809523809,50.40650406504065,50.40650406504065,1.4242105263157896,False,False
002971,20220505,L5-B,60.97560975609756,23.026315789473685,L0,0.0396945747750414,-0.0551588048871441,False,False,False,2022,87.3015873015873,50.40650406504065,50.40650406504065,0.37763157894736843,False,False
300005,20220505,L5-A,46.666666666666664,44.44444444444444,L2,0.0585831062670298,0.1346229792898366,False,True,True,2022,88.0,51.666666666666664,51.666666666666664,0.9523809523809524,False,False
300026,20220505,L5-B,58.75706214689266,52.38095238095239,L2,0.1991913939324543,0.1123250270744367,True,True,True,2022,98.74213836477988,50.282485875706215,50.282485875706215,0.8914835164835165,False,False
300048,20220505,L5-A,40.15748031496063,1.6304347826086956,L1,0.0355731225296442,-0.2328621609406289,False,False,False,2022,79.03225806451613,50.39370078740158,50.39370078740158,0.04060102301790281,False,False
300092,20220505,L5-B,70.07874015748031,49.45652173913043,L2,0.2859265652746363,0.0174912818043631,False,True,False,2022,80.64516129032258,50.39370078740158,50.39370078740158,0.7057278944797264,False,False
300095,20220505,L5-A,18.11023622047244,4.3478260869565215,L1,0.1011190195264684,-0.1673162639438047,False,False,False,2022,99.19354838709675,50.39370078740158,50.39370078740158,0.24007561436672967,False,False
300099,20220505,L5-A,36.22047244094488,26.6304347826087,L1,0.063934426229508,-0.2045008572407651,False,False,False,2022,76.61290322580645,50.39370078740158,50.39370078740158,0.7352315689981097,False,False
