ret_252d,amt_ratio,peak_dist,code,day,fwd6,discovery,year,cat
0.35788627433816855,0.7816528797303188,-0.2176023117605962,300573,20220104,0.1439353614610057,1.0,2022,TRUE_IGNORED
0.09014871073069242,0.5973045884566238,-0.3313253012048193,601866,20220104,-0.099099099099099,0.8333333333333334,2022,TRUE_IGNORED
-0.1301470588235294,0.8116573492159636,-0.27512254901960786,300106,20220104,-0.2358410819949282,0.75,2022,TRUE_IGNORED
-0.2794904914173626,1.3023418112621077,-0.4829846109034419,300724,20220104,-0.1431766414528648,0.6666666666666666,2022,OTHER
0.20512820512820507,1.0368231258530929,-0.181422351233672,002611,20220104,-0.1471631205673759,0.6666666666666666,2022,OTHER
-0.16903274394906276,0.9339999500468604,-0.17811435330481074,600928,20220104,-0.1214414062022516,0.5,2022,TRUE_IGNORED
-0.04284497598418546,0.5025408606635128,-0.3152239242233328,002978,20220104,-0.0418914712720761,1.0,2022,TRUE_IGNORED
-0.46575618140569164,0.3672208225784263,-0.46575618140569164,300946,20220104,-0.0969454712989726,0.6666666666666666,2022,TRUE_IGNORED
1.0793650793650795,1.3000319676079526,-0.1673728813559321,002418,20220104,-0.1424936386768448,0.75,2022,HIGH_ATTN_STRONG
0.032714382810392406,2.707694160409784,-0.006165228113440224,603328,20220104,-0.2071960297766749,0.3333333333333333,2022,OTHER
0.4798676300523941,1.2358327579702584,-0.3418628454452405,601898,20220104,0.6080870917573873,0.6666666666666666,2022,OTHER
1.1087803713544089,0.30319435753454504,-0.3100747597009612,600392,20220104,0.1562162846234638,0.6666666666666666,2022,HIGH_ATTN_DROP
0.14625094369143943,0.5608875709384082,-0.20519480519480515,300129,20220104,-0.0337690631808279,0.3333333333333333,2022,TRUE_IGNORED
0.7857321056821882,0.43813200228475785,-0.39911797133406846,002136,20220104,-0.0317071791976101,0.8333333333333334,2022,OTHER
0.7247059538910037,0.6680331147166482,-0.3344972067039106,300488,20220104,-0.1149827303664187,1.0,2022,OTHER
-0.2987693759238591,0.7306224642641217,-0.30991817100701013,300554,20220104,-0.0609828300769687,0.5,2022,TRUE_IGNORED
0.18426661852574222,1.0896045443271731,-0.09827456864216055,300481,20220104,-0.0082280594854222,0.1666666666666666,2022,OTHER
0.27060638225590217,0.6334129236844992,-0.4214501510574018,000898,20220104,-0.1047941348754699,0.6666666666666666,2022,TRUE_IGNORED
0.5473684210526317,0.7494050466250857,-0.1009174311926605,600103,20220104,-0.1326530612244898,0.8333333333333334,2022,OTHER
0.30673070791169366,0.6273975354541925,-0.2791443850267381,002079,20220104,9.00813534518985e-05,0.8333333333333334,2022,TRUE_IGNORED
-0.1361443036190778,1.0762793181759276,-0.35973828954870213,002563,20220104,-0.157835253995049,0.6666666666666666,2022,OTHER
0.7692391999896437,1.354898253195567,-0.3663386633866338,688128,20220104,-0.2063113927792056,0.5,2022,OTHER
-0.20882231317842748,0.6111445412508218,-0.30253378084574456,002410,20220104,-0.1561776281473793,0.8333333333333334,2022,TRUE_IGNORED
-0.3128491620111732,0.5442258970248979,-0.3128491620111732,002239,20220104,-0.130081300813008,0.6666666666666666,2022,TRUE_IGNORED
0.0841723903835041,1.0902551309270885,-0.13980028530670474,002479,20220104,-0.1794538054002084,0.75,2022,OTHER
0.013189541800584736,0.6395686171466171,-0.19271383315733903,002745,20220104,-0.3415524705770456,1.0,2022,TRUE_IGNORED
-0.010101010101010055,2.1097077188989384,-0.09468822170900693,601399,20220104,-0.1683673469387755,0.5,2022,OTHER
-0.1287254072431393,1.112720347522983,-0.13792438484389047,600867,20220104,-0.0571096267379439,0.5,2022,OTHER
0.06565586492381303,0.7524625764860112,-0.23176516975671835,002415,20220104,-0.2974143624874882,1.0,2022,TRUE_IGNORED
-0.17899321561504344,0.6777380829152397,-0.21876320608536404,600211,20220104,-0.2468252251635539,0.8333333333333334,2022,TRUE_IGNORED
0.09831989409892405,1.1843902111272002,-0.18570982189355278,300628,20220104,-0.0553565905960034,0.5,2022,OTHER
0.25380227591623417,2.940091695237252,-0.1294820717131473,600261,20220104,-0.1754227079520786,0.5,2022,OTHER
0.02261736782719659,0.41462220340023503,-0.23848238482384831,300637,20220104,-0.1055753262158956,0.5,2022,TRUE_IGNORED
0.5403622549378209,1.2462962882537407,-0.36932649369105297,000959,20220104,-0.1810344827586206,0.8333333333333334,2022,OTHER
0.02590423098590211,0.4894832701448816,-0.37689374384823504,002064,20220104,-0.1713734866037846,1.0,2022,TRUE_IGNORED
0.5936018397797531,1.7014103874534439,-0.04856687898089174,603949,20220104,0.2581840945705227,0.6666666666666666,2022,OTHER
0.13436307649159485,1.0225879794250792,-0.30434782608695654,601608,20220104,-0.0691964285714286,0.6666666666666666,2022,OTHER
0.007251360799546358,0.8392931090695384,-0.2473867595818815,603444,20220104,-0.0531614970583164,0.6666666666666666,2022,TRUE_IGNORED
-0.030901465358958102,0.7032706856192856,-0.1422540842426273,601229,20220104,-0.0864714086471407,0.5,2022,TRUE_IGNORED
-0.244737556929004,0.9852244530551161,-0.2516035791387403,002035,20220104,-0.0625067111557264,0.5,2022,TRUE_IGNORED
-0.22714034167732433,0.7800431148028486,-0.22714034167732433,002500,20220104,-0.1356493953522891,0.5,2022,TRUE_IGNORED
0.5702250113247056,0.46927178202200576,-0.31924050632911394,603155,20220104,0.005452622090549,0.5,2022,OTHER
-0.29451829564454735,0.7425398836840615,-0.3413104495048581,603899,20220104,-0.1376124885084267,0.8333333333333334,2022,TRUE_IGNORED
-0.06331922909088084,0.787703831254402,-0.16187934093001244,000501,20220104,0.0491684360725508,0.6666666666666666,2022,TRUE_IGNORED
0.3309481216457961,1.9166656467651373,-0.052832590706556215,300404,20220104,-0.2040947454941398,1.0,2022,OTHER
0.5443592552026288,0.854939521332317,-0.21883656509695293,300319,20220104,-0.3388204237179522,0.8333333333333334,2022,OTHER
-0.27822862867879605,0.6236762934418698,-0.36174453599960277,600161,20220104,-0.1845420497105889,0.8333333333333334,2022,TRUE_IGNORED
0.24888317531535797,0.7525198874835363,-0.24799081515499433,300303,20220104,-0.2519083969465648,0.3333333333333333,2022,TRUE_IGNORED
0.4619040538108039,1.2111431275403401,-0.16666666666666674,600236,20220104,0.0069804685796754,0.6666666666666666,2022,OTHER
-0.4273895471446081,0.621623218401484,-0.4786491944146436,000661,20220104,-0.1498359866668598,1.0,2022,TRUE_IGNORED
0.59121668672852,0.7293375247904176,-0.19167024243724518,300661,20220104,-0.0934856738754721,1.0,2022,OTHER
-0.35245644574405577,0.2902320189759001,-0.35245644574405577,300549,20220104,-0.1943270773432933,0.8333333333333334,2022,TRUE_IGNORED
0.34686523780539,0.624262955598014,-0.35853658536585364,300896,20220104,0.1282938667379836,0.8333333333333334,2022,TRUE_IGNORED
-0.07042665019421268,0.4584425460056408,-0.19340232858990936,300615,20220104,-0.1159802048041961,0.25,2022,TRUE_IGNORED
0.08635599310184006,0.8999070849016089,-0.08891615766012118,300403,20220104,-0.0186958692542644,1.0,2022,TRUE_IGNORED
-0.0366988980067966,1.3564639782342434,-0.11068702290076349,300016,20220104,-0.1788849269827779,0.3333333333333333,2022,OTHER
0.03556562362677007,0.43441500808399236,-0.3068893528183715,000902,20220104,0.0486932473360004,0.8333333333333334,2022,TRUE_IGNORED
-0.12756618916068707,0.49827622067139654,-0.34546925566343045,300891,20220104,-0.2427172705854817,0.6666666666666666,2022,TRUE_IGNORED
0.9615384615384617,1.0510222644259335,-0.12571428571428567,600595,20220104,-0.1241830065359477,0.3333333333333333,2022,OTHER
0.22224924266297985,0.9528795573620249,-0.3682063796409274,688018,20220104,-0.3840955180516183,0.5,2022,TRUE_IGNORED
-0.288135593220339,1.1434859806850304,-0.3842302878598248,002623,20220104,0.1881548871469733,0.6666666666666666,2022,OTHER
0.13013698630136994,0.5268943370795149,-0.27472527472527464,002379,20220104,0.1242424242424242,0.5,2022,TRUE_IGNORED
0.3328533372350184,0.43646453036677796,-0.31324539507676297,000027,20220104,-0.18332658059708,0.3333333333333333,2022,TRUE_IGNORED
0.500952380952381,1.8468008684494333,-0.17052631578947364,300307,20220104,-0.2271573604060913,0.8333333333333334,2022,OTHER
0.091070506339759,0.4502609591608154,-0.4093894736842104,688686,20220104,-0.0832778809255939,0.5,2022,TRUE_IGNORED
-0.04137770966718879,0.8601115610181539,-0.06077180224617629,002050,20220104,0.06873225362402,0.75,2022,TRUE_IGNORED
0.7816899679010054,0.3931571782031555,-0.34191367654706195,600171,20220104,-0.0314187978013937,0.8333333333333334,2022,OTHER
-0.28819158230439046,0.31642221801872894,-0.28819158230439046,601901,20220104,-0.1643663739021329,0.5,2022,TRUE_IGNORED
0.29209882482919514,0.4368915501995092,-0.21005095048145506,600509,20220104,-0.2117647058823528,0.8333333333333334,2022,TRUE_IGNORED
0.263903045565155,0.6397747606210406,-0.2877513711151738,688508,20220104,-0.358306281014058,0.8333333333333334,2022,TRUE_IGNORED
-0.06724548698332145,0.6750600766560501,-0.2814715234893498,600926,20220104,0.1627543035993741,0.5,2022,TRUE_IGNORED
0.29433962264150937,1.3058015258519915,-0.2060185185185186,002297,20220104,-0.2235179786200193,0.8333333333333334,2022,OTHER
0.27175368139223544,1.1340457395818713,-0.14874551971326166,002053,20220104,0.3455040718588629,0.5,2022,OTHER
0.2806504723560628,0.8120067240325936,-0.1970802919708029,300073,20220104,0.034135287118429,0.8333333333333334,2022,TRUE_IGNORED
-0.09277108433734937,1.351253394212026,-0.36616161616161613,002390,20220104,-0.0293565167260031,0.75,2022,OTHER
0.20084951291519038,0.8840833628078839,-0.3892417432089115,300725,20220104,-0.2193491049642494,1.0,2022,TRUE_IGNORED
0.11339764686194509,0.6955919352989209,-0.4353963083604777,000932,20220104,0.0473707409931234,0.8333333333333334,2022,TRUE_IGNORED
-0.3739837398373983,1.4881775906542527,-0.42659574468085104,688158,20220104,-0.4690166975881261,0.1666666666666666,2022,OTHER
0.21802325581395365,1.3460744132195912,-0.1686507936507936,000659,20220104,-0.262529832935561,0.8333333333333334,2022,OTHER
-0.2898725102248352,0.4848606405507063,-0.4494472870120295,002007,20220104,-0.2069043377872411,0.5,2022,TRUE_IGNORED
0.09285895195111404,0.885897630790421,-0.2370828182941902,600426,20220104,-0.0339340800597171,1.0,2022,TRUE_IGNORED
-0.21092865432941688,0.5229283334799703,-0.3987414375963161,603882,20220104,-0.1890552099533438,1.0,2022,TRUE_IGNORED
0.43943298969072186,0.851425771064152,-0.5024498886414254,000807,20220104,-0.0895644869322648,0.6666666666666666,2022,TRUE_IGNORED
-0.11763347544336467,1.148887608966259,-0.3116581269192993,002027,20220104,-0.2211764705882353,1.0,2022,OTHER
-0.21865965944054322,0.48181300155197604,-0.4372820719912117,300558,20220104,-0.3023553226904497,0.6666666666666666,2022,TRUE_IGNORED
-0.0021299426899356044,0.5743942599271852,-0.17721796066122653,601939,20220104,0.0287648054145515,0.5,2022,TRUE_IGNORED
0.02103990931467692,0.9094941519769936,-0.13296611030771333,002828,20220104,-0.2060320135296764,0.6666666666666666,2022,TRUE_IGNORED
0.20370370370370372,0.5545564024694717,-0.2745535714285715,002716,20220104,-0.1507692307692308,0.3333333333333333,2022,TRUE_IGNORED
0.4440129449838188,1.0099319299560459,-0.2784605433376456,603987,20220104,-0.0985158911180786,1.0,2022,OTHER
0.1346231562682545,2.059152106039966,-0.2019002375296911,601996,20220104,-0.0978465230666042,0.8333333333333334,2022,OTHER
-0.31205597099978677,0.8900903037924077,-0.3265020147415618,300840,20220104,-0.2320365786846586,0.5,2022,TRUE_IGNORED
0.2720810231685351,0.8198769248678652,-0.2973529411764707,601633,20220104,-0.2192754876755371,0.8333333333333334,2022,TRUE_IGNORED
0.8479914169973619,0.3177777928966572,-0.458300761538054,000966,20220104,-0.1639566395663956,0.3333333333333333,2022,OTHER
