code,day,state,rps_t0,rps_t1,state_t1,fwd6,fwd6_excess,R1_price,R2_state,R3_excess,year
000059,20220505,L5-A,46.666666666666664,88.88888888888889,L3,0.1597769640686366,0.10269635999749108,True,True,True,2022
000408,20220505,L5-B,34.78260869565217,53.96825396825397,L2,0.1659849022214568,0.07308856301491654,True,True,True,2022
000420,20220505,L5-B,26.01626016260163,57.23684210526315,L2,0.3775811209439528,0.2827277412817673,True,True,True,2022
000423,20220505,L5-A,35.02824858757062,80.47619047619048,L3,0.2617111626029835,0.17484479574496598,True,True,True,2022
000534,20220505,L5-B,9.6045197740113,89.04761904761904,L0,0.7590302360209848,0.6721638691629673,True,False,True,2022
000657,20220505,L5-A,8.695652173913043,14.285714285714285,L1,0.5262154440400415,0.4333191048335012,False,False,True,2022
000717,20220505,L5-A,21.428571428571427,69.23076923076923,L2,-0.199398498092271,-0.09966900885923516,True,True,False,2022
000811,20220505,L5-B,33.07086614173229,86.95652173913044,L3,0.314394297544851,0.045959014074577864,True,True,False,2022
000920,20220505,L5-A,27.64227642276423,63.1578947368421,L2,0.140650160312624,0.045796780650438504,True,True,False,2022
000969,20220505,L5-A,28.26086956521739,57.14285714285714,L2,0.1749644381223327,0.08206809891579245,True,True,True,2022
000989,20220505,L5-A,60.451977401129945,60.95238095238096,L2,0.0159781143434387,-0.07088825251457882,True,True,False,2022
002006,20220505,L5-A,81.88976377952756,82.6086956521739,L3,0.4439227960354721,0.17548751256519896,True,True,True,2022
002008,20220505,L5-A,10.236220472440944,19.565217391304348,L1,-0.0708689458689459,-0.339304229339219,False,False,False,2022
002011,20220505,L5-A,3.571428571428571,95.34883720930232,L3,0.6751677852348994,0.6796104532745567,True,True,True,2022
002026,20220505,L5-A,2.3622047244094486,57.608695652173914,L2,0.2003322255247475,-0.06810305794552562,True,True,False,2022
002043,20220505,L5-A,34.78260869565217,33.33333333333333,L1,-0.1682418926509025,-0.101491325759215,False,False,False,2022
002068,20220505,L5-A,43.90243902439025,78.94736842105263,L3,0.4028268551236749,0.3079734754614894,True,True,True,2022
002073,20220505,L5-A,52.75590551181102,84.23913043478261,L3,0.3278350515463917,0.059399768076118575,True,True,True,2022
