day,code,rps,order,capex,margin,discovery,fwd1,fwd3,fwd6,disc_q,state,lc_score,ev_score,ms_score,ex_score,rpi,rpi_q,n_green,n_red,ev,unconfirmed,exec,growth_ra,recovery_ra
20220104,688699,0.6993006993006993,1.0,1.0,1.0,1.0,-0.2221256374594342,-0.2051460361613352,-0.3720073186689332,high,L1,0.7,1.0,0.993006993006993,1.0,0.8786013986013985,Q5高,3,0,1.0,0.993006993006993,1.0,0.9979020979020978,0.6986013986013986
20220104,300488,0.8064516129032258,1.0,1.0,1.0,1.0,0.04302203567681,-0.1073802028681356,-0.1149827303664187,high,L1,0.7,1.0,0.9919354838709676,1.0,0.8783870967741935,Q5高,3,0,1.0,0.9919354838709677,1.0,0.9975806451612903,0.6983870967741936
20220104,603655,1.098901098901099,1.0,1.0,1.0,1.0,-0.0845571873609256,-0.1188251001335114,-0.1802403204272363,high,L1,0.7,1.0,0.989010989010989,1.0,0.8778021978021978,Q5高,3,0,1.0,0.989010989010989,1.0,0.9967032967032967,0.6978021978021978
20220104,688202,1.257861635220126,1.0,1.0,1.0,1.0,-0.2004833099959347,0.0095306924431997,0.0598497491205576,high,L1,0.7,1.0,0.9874213836477987,1.0,0.8774842767295598,Q5高,3,0,1.0,0.9874213836477987,1.0,0.9962264150943396,0.6974842767295597
20220104,000799,1.694915254237288,1.0,1.0,1.0,1.0,-0.2136320305052431,-0.2477597712106768,-0.1354146806482364,high,L1,0.7,1.0,0.9830508474576272,1.0,0.8766101694915254,Q5高,3,0,1.0,0.9830508474576272,1.0,0.9949152542372881,0.6966101694915254
20220104,300671,2.097902097902098,1.0,1.0,1.0,1.0,-0.1891994917407877,0.0421855146124523,-0.0384084994063896,high,L1,0.7,1.0,0.9790209790209792,1.0,0.8758041958041958,Q5高,3,0,1.0,0.9790209790209791,1.0,0.9937062937062937,0.6958041958041958
20220104,600746,2.380952380952381,1.0,1.0,1.0,1.0,-0.024337866857552,-0.0422333571939871,-0.0959039075085331,high,L1,0.7,1.0,0.9761904761904762,1.0,0.8752380952380951,Q5高,3,0,1.0,0.9761904761904762,1.0,0.9928571428571427,0.6952380952380952
20220104,300595,2.515723270440252,1.0,1.0,1.0,1.0,-0.3275217932752179,-0.3504714463618573,-0.0002305556104029,high,L1,0.7,1.0,0.9748427672955976,1.0,0.8749685534591195,Q5高,3,0,1.0,0.9748427672955975,1.0,0.9924528301886792,0.6949685534591195
20220104,688012,2.797202797202797,1.0,1.0,1.0,1.0,-0.0006660561152277,-0.0242277911914078,-0.0320539505453335,high,L1,0.7,1.0,0.972027972027972,1.0,0.8744055944055943,Q5高,3,0,1.0,0.972027972027972,1.0,0.9916083916083915,0.6944055944055945
20220104,603393,2.898550724637681,1.0,1.0,1.0,1.0,-0.0370221327967806,-0.1187122736418511,-0.1233732941596126,high,L1,0.7,1.0,0.9710144927536232,1.0,0.8742028985507245,Q5高,3,0,1.0,0.9710144927536232,1.0,0.9913043478260868,0.6942028985507247
20220104,300725,3.1446540880503147,1.0,1.0,1.0,1.0,-0.2860571154307656,-0.2408607311415087,-0.2193491049642494,high,L1,0.7,1.0,0.9685534591194968,1.0,0.8737106918238994,Q5高,3,0,1.0,0.9685534591194969,1.0,0.990566037735849,0.6937106918238993
20220104,600582,3.225806451612903,1.0,1.0,1.0,1.0,-0.0888382687927107,0.1366742596810932,0.1150746215125952,high,L1,0.7,1.0,0.967741935483871,1.0,0.8735483870967742,Q5高,3,0,1.0,0.967741935483871,1.0,0.9903225806451612,0.6935483870967742
20220104,688368,3.4965034965034967,1.0,1.0,1.0,1.0,-0.224978614200171,-0.3810949529512403,-0.4678902192193584,high,L1,0.7,1.0,0.965034965034965,1.0,0.8730069930069929,Q5高,3,0,1.0,0.965034965034965,1.0,0.9895104895104894,0.6930069930069931
20220104,002978,4.3478260869565215,1.0,1.0,1.0,1.0,-0.0645760743321718,-0.1421602787456445,-0.0418914712720761,high,L1,0.7,1.0,0.9565217391304348,1.0,0.8713043478260869,Q5高,3,0,1.0,0.9565217391304348,1.0,0.9869565217391303,0.691304347826087
20220104,300458,6.293706293706294,1.0,1.0,1.0,1.0,-0.1409942950285249,-0.1396903015484922,-0.1001455595410202,high,L1,0.7,1.0,0.9370629370629372,1.0,0.8674125874125874,Q5高,3,0,1.0,0.9370629370629371,1.0,0.9811188811188811,0.6874125874125874
20220104,603259,6.918238993710692,1.0,1.0,1.0,1.0,-0.0395220588235293,0.002481617647059,-0.0504439274025039,high,L1,0.7,1.0,0.9308176100628932,1.0,0.8661635220125786,Q5高,3,0,1.0,0.9308176100628931,1.0,0.9792452830188678,0.6861635220125786
20220104,300782,6.993006993006993,1.0,1.0,1.0,1.0,-0.202008520998174,-0.3539561777236761,-0.3122976724377216,high,L1,0.7,1.0,0.93006993006993,1.0,0.8660139860139859,Q5高,3,0,1.0,0.9300699300699301,1.0,0.979020979020979,0.686013986013986
