code,day,state,rps_t0,rps_t1,state_t1,fwd6,fwd6_excess,R1_price,R2_state,R3_excess,year,ind,gate,cycle,health,regime
002915,20220505,L5-A,40.65040650406504,57.89473684210527,L2,0.2805412593349576,0.1856878796727721,True,True,True,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
002971,20220505,L5-B,60.97560975609756,23.026315789473685,L0,0.0396945747750414,-0.0551588048871441,False,False,False,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
300005,20220505,L5-A,46.666666666666664,44.44444444444444,L2,0.0585831062670298,0.1346229792898366,False,True,True,2022,纺织服饰,YELLOW,STABLE,WARNING,OVERREACTION
300026,20220505,L5-B,58.75706214689266,52.38095238095239,L2,0.1991913939324543,0.1123250270744367,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
300048,20220505,L5-A,40.15748031496063,1.6304347826086956,L1,0.0355731225296442,-0.2328621609406289,False,False,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300092,20220505,L5-B,70.07874015748031,49.45652173913043,L2,0.2859265652746363,0.0174912818043631,False,True,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300095,20220505,L5-A,18.11023622047244,4.3478260869565215,L1,0.1011190195264684,-0.1673162639438047,False,False,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300099,20220505,L5-A,36.22047244094488,26.6304347826087,L1,0.063934426229508,-0.2045008572407651,False,False,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300109,20220505,L5-A,19.51219512195122,99.3421052631579,L3,1.0046566695826766,0.9098032899204912,True,True,True,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
300112,20220505,L5-A,55.90551181102362,57.04225352112676,L2,0.250136522538918,-0.0182987609313551,True,True,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300127,20220505,L5-A,10.869565217391305,41.269841269841265,L0,0.0470248239111379,-0.0458715152954023,False,False,False,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
300151,20220505,L5-A,3.149606299212598,42.934782608695656,L0,0.2457853754300425,-0.0226499080402306,False,False,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300171,20220505,L5-A,61.016949152542374,6.190476190476191,L1,-0.2389660474798475,-0.325832414337865,False,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
300194,20220505,L5-A,37.85310734463277,43.21608040201005,L0,0.0427350427350425,-0.044131324122975,False,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
300224,20220505,L5-A,36.95652173913043,61.904761904761905,L2,0.1215753424657535,0.0286790032592132,True,True,False,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
300247,20220505,L5-A,53.57142857142857,65.11627906976744,L2,0.0868167202572347,0.0912593882968919,True,True,True,2022,家用电器,GREEN,TURNING_UP,HEALTHY,NORMAL_DISCOUNT
300260,20220505,L5-A,38.582677165354326,98.36956521739133,L3,1.880064396596532,1.6116291131262588,True,True,True,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300305,20220505,L5-A,13.008130081300814,18.421052631578945,L1,0.1336412902348243,0.0387879105726387,False,False,False,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
300320,20220505,L5-B,16.260162601626014,46.71052631578947,L2,0.2710428262191358,0.1761894465569503,False,True,True,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
300351,20220505,L5-A,48.818897637795274,73.91304347826086,L3,0.4019933554817276,0.1335580720114544,True,True,True,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300358,20220505,L5-A,23.728813559322035,44.285714285714285,L2,0.0884927723481323,0.0016264054901147,False,True,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
300452,20220505,L5-B,38.983050847457626,87.61904761904762,L3,0.3804783338104185,0.293611966952401,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
300470,20220505,L5-A,66.14173228346458,40.76086956521739,L2,0.2920415762714818,0.0236062928012086,False,True,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300487,20220505,L5-A,13.821138211382117,92.76315789473684,L3,0.7911179254909035,0.696264545828718,True,True,True,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
300519,20220505,L5-A,53.10734463276836,35.23809523809524,L1,0.0409811915744215,-0.045885175283596,False,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
300610,20220505,L5-B,15.447154471544716,53.289473684210535,L2,0.0889182016018104,-0.0059351780603751,True,True,False,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
300683,20220505,L5-B,1.694915254237288,90.47619047619048,L3,0.1399938328707985,0.0531274660127809,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
300688,20220505,L5-A,29.411764705882355,9.523809523809524,L0,0.0340277777777777,-0.1295393466370863,False,False,False,2022,社会服务,YELLOW,STABLE,WARNING,OVERREACTION
300748,20220505,L5-B,21.73913043478261,76.19047619047619,L3,0.2158863660123935,0.1229900268058532,True,True,True,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
300755,20220505,L5-A,21.875,27.27272727272727,L1,-0.359324280820777,-0.3454413182857199,False,False,False,2022,商贸零售,YELLOW,STABLE,WARNING,OVERREACTION
300835,20220505,L5-A,6.521739130434782,68.25396825396825,L2,0.2214255588359341,0.1285292196293938,True,True,True,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
300855,20220505,L5-A,13.043478260869565,77.77777777777779,L3,0.7046657449452891,0.6117694057387488,True,True,True,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
300859,20220505,L5-B,52.94117647058824,58.82352941176471,L0,0.387363241318253,0.2237961169033889,True,False,True,2022,社会服务,YELLOW,STABLE,WARNING,OVERREACTION
600010,20220505,L5-A,17.857142857142858,76.92307692307693,L3,-0.013646108536908,0.0860833806961278,True,True,True,2022,钢铁,YELLOW,STABLE,WARNING,OVERREACTION
600085,20220505,L5-A,44.06779661016949,64.76190476190476,L2,0.1810425839973781,0.0941762171393605,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
600114,20220505,L5-B,17.322834645669293,75.54347826086956,L3,0.52813373302522,0.2596984495549469,True,True,True,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
600129,20220505,L5-A,27.68361581920904,92.38095238095238,L3,0.9366407650926484,0.8497743982346309,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
600285,20220505,L5-A,46.32768361581921,80.0,L3,0.2773243378723498,0.1904579710143322,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
600329,20220505,L5-B,21.468926553672315,67.14285714285714,L2,0.4449872660940188,0.3581208992360012,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
