l3_name,l1_name,median_rps,n_stocks,is_hot
金融信息服务,非银金融,100.0,1,True
农商行Ⅲ,银行,100.0,1,True
钢铁管材,钢铁,100.0,1,True
公路货运,交通运输,94.3,1,True
超市,商贸零售,94.1,2,True
硅料硅片,电力设备,92.6,1,True
钨,有色金属,92.4,3,True
钾肥,基础化工,91.3,3,True
院线,传媒,91.1,3,True
食用菌,农林牧渔,90.3,2,True
百货,商贸零售,88.2,3,True
住宅开发,房地产,87.5,1,True
其他种植业,农林牧渔,87.1,1,True
油品石化贸易,石油石化,86.7,3,True
综合电力设备商,电力设备,84.7,1,True
印染,纺织服饰,84.0,1,True
锂电专用设备,电力设备,83.5,7,True
体育Ⅲ,社会服务,82.9,1,True
镍,有色金属,81.8,1,True
金属包装,轻工制造,80.4,2,True
玻纤制造,建筑材料,80.0,2,True
鞋帽及其他,纺织服饰,80.0,7,True
膜材料,基础化工,79.9,12,True
游戏Ⅲ,传媒,79.5,14,True
旅游零售Ⅲ,商贸零售,79.4,1,True
家电零部件Ⅲ,家用电器,78.6,19,True
工程机械器件,机械设备,78.2,7,True
家纺,纺织服饰,78.0,4,True
林业Ⅲ,农林牧渔,77.4,1,True
瓷砖地板,轻工制造,77.2,3,True
涤纶,基础化工,77.2,4,True
软饮料,食品饮料,76.7,5,True
胶黏剂及胶带,基础化工,75.7,4,True
摩托车,汽车,75.2,8,True
氯碱,基础化工,74.8,4,True
氮肥,基础化工,74.8,1,True
磷肥及磷化工,基础化工,74.5,2,True
酒店,社会服务,74.3,1,True
航天装备Ⅲ,国防军工,74.3,4,True
跨境物流,交通运输,74.3,4,True
原材料供应链服务,交通运输,74.3,1,True
锂,有色金属,74.2,3,True
医疗研发外包,医药生物,74.0,21,True
其他建材,建筑材料,73.3,5,True
园林工程,建筑装饰,73.3,5,True
聚氨酯,基础化工,73.3,5,True
烘焙食品,食品饮料,72.6,5,True
生活用纸,美容护理,72.5,6,True
保险Ⅲ,非银金融,72.5,5,True
分立器件,电子,72.4,11,True
火电设备,电力设备,72.4,2,True
风电零部件,电力设备,72.2,8,True
大气治理,环保,71.2,3,True
激光设备,机械设备,70.8,6,True
火力发电,公用事业,70.3,4,True
热力服务,公用事业,70.3,9,True
期货,非银金融,70.0,4,True
检测服务,社会服务,70.0,12,True
非金属材料Ⅲ,基础化工,69.9,5,True
通信网络设备及器件,通信,69.5,23,True
棉纺,纺织服饰,69.0,2,True
动力煤,煤炭,68.8,6,True
煤化工,基础化工,68.4,1,True
其他通用设备,机械设备,68.3,27,True
集成电路制造,电子,68.1,5,True
个护小家电,家用电器,67.9,3,True
改性塑料,基础化工,67.7,12,True
其他生物制品,医药生物,67.6,24,True
化学制剂,医药生物,67.2,42,True
塑料包装,轻工制造,67.1,4,True
印制电路板,电子,67.1,30,True
其他专业服务,社会服务,67.1,2,True
装修装饰Ⅲ,建筑装饰,66.7,3,True
国有大型银行Ⅲ,银行,66.7,1,True
炼油化工,石油石化,66.7,1,True
安防设备,计算机,66.4,15,True
输变电设备,电力设备,65.9,14,True
光伏电池组件,电力设备,65.9,5,True
港口,交通运输,65.7,2,True
氨纶,基础化工,65.5,1,True
半导体材料,电子,65.1,15,True
运动服装,纺织服饰,65.0,2,True
商用载客车,汽车,65.0,3,True
畜禽饲料,农林牧渔,64.5,1,True
综合环境治理,环保,64.4,6,True
综合包装,轻工制造,63.9,4,True
熟食,食品饮料,63.7,2,True
稀土,有色金属,63.6,1,True
照明设备Ⅲ,家用电器,63.4,6,True
民爆制品,基础化工,63.1,5,True
印刷包装机械,机械设备,63.1,7,True
预加工食品,食品饮料,63.0,9,True
旅游综合,社会服务,62.9,1,True
航运,交通运输,62.9,7,True
