l3_name,l1_name,median_rps,n_stocks,is_hot
核力发电,公用事业,61.8,2,True
光伏加工设备,电力设备,61.8,7,True
仪器仪表,机械设备,61.7,45,True
炼油化工,石油石化,61.4,2,True
个护小家电,家用电器,61.3,2,True
其他塑料制品,基础化工,61.1,15,True
家纺,纺织服饰,61.0,6,True
安防设备,计算机,61.0,16,True
其他化学制品,基础化工,60.7,47,True
动力煤,煤炭,60.5,12,True
焦煤,煤炭,60.5,4,True
证券Ⅲ,非银金融,60.3,43,True
综合Ⅲ,综合,60.0,5,True
股份制银行Ⅲ,银行,59.5,8,True
轮胎轮毂,汽车,59.3,9,True
地面兵装Ⅲ,国防军工,59.3,6,True
品牌化妆品,美容护理,59.1,5,True
成品家居,轻工制造,58.9,8,True
氟化工,基础化工,58.7,6,True
军工电子Ⅲ,国防军工,58.6,29,True
其他酒类,食品饮料,58.3,5,True
锂电专用设备,电力设备,58.3,11,True
其他汽车零部件,汽车,58.0,40,True
其他农产品加工,农林牧渔,57.8,5,True
软饮料,食品饮料,57.7,8,True
纺织服装设备,机械设备,57.2,8,True
铜,有色金属,57.1,6,True
住宅开发,房地产,57.1,18,True
通信线缆及配套,通信,56.6,4,True
铁矿石,钢铁,56.5,5,True
家电零部件Ⅲ,家用电器,56.3,25,True
航运,交通运输,56.2,13,True
其他小金属,有色金属,55.8,9,True
汽车电子电气系统,汽车,55.7,25,True
大气治理,环保,55.6,3,True
游戏Ⅲ,传媒,55.6,15,True
医疗设备,医药生物,55.5,25,True
保健品,食品饮料,55.4,2,True
电机Ⅲ,电力设备,55.4,19,True
铝,有色金属,55.2,14,True
航天装备Ⅲ,国防军工,55.0,4,True
玻璃制造,建筑材料,54.8,2,True
水泥制品,建筑材料,54.8,2,True
其他建材,建筑材料,54.8,13,True
风力发电,公用事业,54.7,13,True
钼,有色金属,54.5,1,True
逆变器,电力设备,54.4,9,True
金属制品,机械设备,53.9,46,True
多业态零售,商贸零售,53.6,8,True
调味发酵品Ⅲ,食品饮料,53.6,9,True
超市,商贸零售,53.6,4,True
其他金属新材料,有色金属,53.2,7,True
商用载货车,汽车,52.6,6,True
油气开采Ⅲ,石油石化,52.3,2,True
工控设备,机械设备,52.1,21,True
印刷,轻工制造,52.1,2,True
印染,纺织服饰,52.1,4,True
磁性材料,有色金属,51.9,13,True
疫苗,医药生物,51.7,10,True
城商行Ⅲ,银行,51.4,15,True
其他专业服务,社会服务,51.2,2,True
IT服务Ⅲ,计算机,51.0,44,True
工程咨询服务Ⅲ,建筑装饰,50.7,33,True
棉纺,纺织服饰,50.7,4,True
原料药,医药生物,50.2,35,True
其他专用设备,机械设备,50.1,53,True
垂直应用软件,计算机,50.0,45,True
厨房小家电,家用电器,50.0,8,True
水产养殖,农林牧渔,50.0,2,True
水力发电,公用事业,50.0,9,True
集成电路封测,电子,50.0,9,True
车身附件及饰件,汽车,49.7,26,True
配电设备,电力设备,49.5,15,True
横向通用软件,计算机,49.4,14,True
清洁小家电,家用电器,49.3,5,True
基建市政工程,建筑装饰,49.3,9,True
纸包装,轻工制造,49.0,13,True
畜禽饲料,农林牧渔,48.9,2,True
医疗耗材,医药生物,48.9,42,True
人力资源服务,社会服务,48.8,3,True
其他计算机设备,计算机,48.7,35,True
化学制剂,医药生物,48.7,60,True
大众出版,传媒,48.6,14,True
底盘与发动机系统,汽车,48.5,61,True
文化用品,轻工制造,48.4,4,True
熟食,食品饮料,48.2,2,True
百货,商贸零售,48.2,12,True
营销代理,传媒,47.9,10,True
冰洗,家用电器,47.9,6,True
通信终端及配件,通信,47.1,15,True
涤纶,基础化工,47.0,4,True
旅游综合,社会服务,46.3,3,True
医药流通,医药生物,46.1,7,True
聚氨酯,基础化工,46.0,5,True
综合环境治理,环保,46.0,9,True
电信运营商,通信,45.6,3,True
其他生物制品,医药生物,45.6,24,True
生猪养殖,农林牧渔,45.6,2,True
汽车经销商,汽车,45.4,2,True
电网自动化设备,电力设备,45.3,20,True
水泥制造,建筑材料,45.2,1,True
广告媒体,传媒,45.1,2,True
其他通用设备,机械设备,44.6,33,True
预加工食品,食品饮料,44.6,10,True
其他家居用品,轻工制造,44.3,18,True
民爆制品,基础化工,44.0,3,True
合成树脂,基础化工,43.8,8,True
航空装备Ⅲ,国防军工,43.6,24,True
体外诊断,医药生物,43.4,30,True
诊断服务,医药生物,43.3,3,True
制冷空调设备,机械设备,43.1,12,True
商业物业经营,商贸零售,42.9,6,True
水务及水治理,环保,42.9,25,True
氨纶,基础化工,42.9,1,True
面板,电子,42.6,19,True
其他纺织,纺织服饰,42.5,13,True
机场,交通运输,42.2,3,True
楼宇设备,机械设备,42.1,8,True
通信应用增值服务,通信,41.9,10,True
管材,建筑材料,41.9,3,True
电视广播Ⅲ,传媒,41.7,11,True
其他能源发电,公用事业,41.5,1,True
航海装备Ⅲ,国防军工,41.4,7,True
烘焙食品,食品饮料,41.1,6,True
专业连锁Ⅲ,商贸零售,41.1,5,True
铅锌,有色金属,40.9,8,True
食品及饲料添加剂,基础化工,40.5,16,True
电能综合服务,公用事业,40.1,12,True
火电设备,电力设备,40.0,2,True
其他养殖,农林牧渔,40.0,1,True
氯碱,基础化工,39.7,5,True
商用载客车,汽车,39.7,4,True
娱乐用品,轻工制造,39.6,12,True
卫浴制品,轻工制造,39.6,5,True
白酒Ⅲ,食品饮料,39.3,14,True
纺织化学制品,基础化工,39.3,13,True
光伏辅材,电力设备,39.2,6,True
跨境物流,交通运输,39.1,7,True
人工景区,社会服务,39.0,3,True
乳品,食品饮料,38.1,13,True
金融信息服务,非银金融,38.1,1,True
其他电子Ⅲ,电子,38.1,17,True
线缆部件及其他,电力设备,36.8,20,True
原材料供应链服务,交通运输,36.7,4,True
数字芯片设计,电子,36.5,35,True
医疗研发外包,医药生物,36.4,21,True
电工仪器仪表,电力设备,36.3,9,True
风电零部件,电力设备,36.0,10,True
炭黑,基础化工,35.7,6,True
产业地产,房地产,35.7,1,True
食用菌,农林牧渔,35.6,3,True
门户网站,传媒,35.4,4,True
钴,有色金属,35.1,1,True
光伏发电,公用事业,34.9,9,True
环保设备Ⅲ,环保,34.9,9,True
特钢Ⅲ,钢铁,34.8,7,True
轨交设备Ⅲ,机械设备,34.7,19,True
模拟芯片设计,电子,34.5,17,True
辅料,纺织服饰,34.2,2,True
自然景区,社会服务,34.1,5,True
其他家电Ⅲ,家用电器,33.8,2,True
金融控股,非银金融,33.3,5,True
血液制品,医药生物,33.2,3,True
纯碱,基础化工,32.5,2,True
贸易Ⅲ,商贸零售,32.1,7,True
国际工程,建筑装饰,32.0,3,True
工程机械整机,机械设备,32.0,13,True
油气及炼化工程,石油石化,31.8,3,True
无机盐,基础化工,31.5,8,True
医院,医药生物,31.5,6,True
汽车综合服务,汽车,31.2,4,True
中间产品及消费品供应链服务,交通运输,31.2,3,True
动物保健Ⅲ,农林牧渔,31.1,7,True
其他橡胶制品,基础化工,30.8,6,True
板材,钢铁,30.4,6,True
消费电子零部件及组装,电子,30.3,50,True
线下药店,医药生物,30.1,1,True
航空运输,交通运输,29.7,3,True
运动服装,纺织服饰,29.5,4,True
锦纶,基础化工,29.0,4,True
种子,农林牧渔,28.9,3,True
物业管理,房地产,28.6,5,True
卫浴电器,家用电器,28.2,2,True
输变电设备,电力设备,27.9,16,True
厨房电器,家用电器,27.5,4,True
生活用纸,美容护理,27.3,7,True
农商行Ⅲ,银行,27.0,8,True
金属包装,轻工制造,26.0,4,True
其他运输设备,汽车,25.8,7,True
品牌消费电子,电子,25.8,6,True
大宗用纸,轻工制造,25.5,2,True
燃气Ⅲ,公用事业,25.5,23,True
餐饮,社会服务,24.4,3,True
林业Ⅲ,农林牧渔,24.4,1,True
期货,非银金融,23.8,2,True
综合乘用车,汽车,23.7,2,True
通信工程及服务,通信,23.5,3,True
医美耗材,美容护理,22.7,2,True
钢结构,建筑装饰,22.7,6,True
印刷包装机械,机械设备,22.6,5,True
其他化学原料,基础化工,22.6,5,True
钨,有色金属,22.1,3,True
学历教育,社会服务,22.0,1,True
信托,非银金融,21.4,2,True
农用机械,机械设备,20.7,3,True
综合电力设备商,电力设备,20.6,1,True
光伏电池组件,电力设备,19.6,9,True
LED,电子,19.5,20,True
煤化工,基础化工,18.7,5,True
化学工程,建筑装饰,18.7,2,True
农药,基础化工,18.3,13,True
钟表珠宝,纺织服饰,17.8,8,True
定制家居,轻工制造,17.7,5,True
其他通信设备,通信,17.6,6,True
电动乘用车,汽车,17.3,2,True
钛白粉,基础化工,16.9,2,True
钾肥,基础化工,16.3,3,True
焦炭Ⅲ,煤炭,15.8,3,True
仓储物流,交通运输,15.6,2,True
视频媒体,传媒,15.3,1,True
保险Ⅲ,非银金融,14.3,5,False
氮肥,基础化工,13.5,3,False
能源及重型设备,机械设备,13.2,33,False
影视动漫制作,传媒,12.5,3,False
硅料硅片,电力设备,11.5,2,False
其他黑色家电,家用电器,11.3,3,False
黄金,有色金属,11.0,6,False
纺织鞋类制造,纺织服饰,11.0,1,False
公交,交通运输,10.9,4,False
复合肥,基础化工,10.7,3,False
租赁,非银金融,10.3,2,False
耐火材料,建筑材料,9.7,5,False
油田服务,石油石化,9.1,3,False
风电整机,电力设备,7.8,1,False
宠物食品,农林牧渔,6.7,1,False
旅游零售Ⅲ,商贸零售,6.2,2,False
磷肥及磷化工,基础化工,4.8,3,False
公路货运,交通运输,3.1,1,False
燃料电池,电力设备,2.9,1,False
白银,有色金属,2.6,1,False
