l3_name,l1_name,median_rps,n_stocks,is_hot
果蔬加工,农林牧渔,97.8,3,True
镍,有色金属,96.1,1,True
其他数字媒体,传媒,95.1,2,True
蓄电池及其他电池,电力设备,93.1,5,True
非金属材料Ⅲ,基础化工,90.9,5,True
其他化学纤维,基础化工,90.5,5,True
玻纤制造,建筑材料,90.3,5,True
钢铁管材,钢铁,89.1,2,True
激光设备,机械设备,89.0,6,True
水产饲料,农林牧渔,88.9,1,True
资产管理,非银金融,88.9,2,True
被动元件,电子,86.9,12,True
塑料包装,轻工制造,86.5,5,True
彩电,家用电器,84.5,3,True
高速公路,交通运输,83.6,8,True
长材,钢铁,82.6,1,True
改性塑料,基础化工,82.5,13,True
园林工程,建筑装饰,81.3,5,True
体育Ⅲ,社会服务,80.5,1,True
啤酒,食品饮料,79.8,4,True
油品石化贸易,石油石化,79.5,4,True
商业地产,房地产,78.6,3,True
快递,交通运输,78.1,1,True
锂电池,电力设备,77.9,13,True
其他种植业,农林牧渔,77.8,3,True
瓷砖地板,轻工制造,77.6,8,True
空调,家用电器,77.5,2,True
冶钢辅料,钢铁,76.1,2,True
膜材料,基础化工,76.0,18,True
其他电源设备Ⅲ,电力设备,75.7,14,True
国有大型银行Ⅲ,银行,75.7,6,True
其他医疗服务,医药生物,75.5,1,True
电池化学品,电力设备,75.5,14,True
其他自动化设备,机械设备,75.2,15,True
院线,传媒,75.0,1,True
铁路运输,交通运输,75.0,7,True
综合包装,轻工制造,75.0,3,True
其他多元金融,非银金融,74.6,1,True
热力服务,公用事业,74.5,13,True
有机硅,基础化工,74.2,5,True
通信网络设备及器件,通信,73.5,27,True
其他专业工程,建筑装饰,73.3,9,True
粮食种植,农林牧渔,73.3,1,True
照明设备Ⅲ,家用电器,73.2,9,True
化妆品制造及其他,美容护理,72.7,5,True
肉制品,食品饮料,72.6,3,True
装修装饰Ⅲ,建筑装饰,72.0,7,True
磨具磨料,机械设备,71.5,8,True
胶黏剂及胶带,基础化工,71.4,4,True
跨境电商,商贸零售,71.4,3,True
固废治理,环保,71.4,17,True
摩托车,汽车,70.6,6,True
火力发电,公用事业,69.8,24,True
光学元件,电子,69.7,19,True
电商服务,商贸零售,69.6,8,True
锂,有色金属,69.5,4,True
教育出版,传媒,69.4,9,True
零食,食品饮料,69.0,8,True
肉鸡养殖,农林牧渔,68.9,5,True
培训教育,社会服务,68.3,3,True
检测服务,社会服务,68.3,14,True
综合电商,商贸零售,67.9,1,True
特种纸,轻工制造,67.7,7,True
中药Ⅲ,医药生物,67.4,51,True
橡胶助剂,基础化工,66.7,1,True
印制电路板,电子,66.0,28,True
酒店,社会服务,65.9,3,True
分立器件,电子,65.8,11,True
机器人,机械设备,65.0,13,True
稀土,有色金属,64.9,3,True
港口,交通运输,64.8,8,True
粘胶,基础化工,64.5,2,True
房产租赁经纪,房地产,64.3,1,True
半导体设备,电子,64.2,17,True
房屋建设Ⅲ,建筑装饰,64.0,1,True
工程机械器件,机械设备,64.0,8,True
鞋帽及其他,纺织服饰,63.7,6,True
非运动服装,纺织服饰,63.7,24,True
洗护用品,美容护理,63.6,3,True
其他石化,石油石化,63.6,8,True
其他饰品,纺织服饰,63.0,1,True
电子化学品Ⅲ,电子,62.9,27,True
涂料油墨,基础化工,62.7,13,True
机床工具,机械设备,62.4,14,True
半导体材料,电子,62.3,17,True
粮油加工,农林牧渔,62.2,5,True
集成电路制造,电子,62.1,6,True
